No.,วันที่,ช่วงเวลา,73t,41t,75t,58t,39t,76t
1,2025-03-31,01:00,106.2,16.3,152.4,443.2,72.4,54.6
2,2025-03-31,02:00,108.3,20.8,154.7,414.2,76.5,84.6
3,2025-03-31,03:00,111.4,20.9,170.9,388,70.3,78
4,2025-03-31,04:00,117.8,20.6,168.7,374.3,64.5,75.2
5,2025-03-31,05:00,118.1,19.2,165.1,383,64.3,76.7
6,2025-03-31,06:00,130.4,18.4,161.4,408.6,60.6,70.9
7,2025-03-31,07:00,140.9,27.3,157.5,385,64.7,74.9
8,2025-03-31,08:00,155.2,30.3,155.7,413.6,69.4,80.8
9,2025-03-31,09:00,150.4,27.6,152.1,492.7,71.2,78.7
10,2025-03-31,10:00,145.1,25,147.5,551.2,67.6,77.7
11,2025-03-31,11:00,116.1,20.1,125.3,396.8,54.2,74.7
12,2025-03-31,12:00,94.4,17.7,100.4,273,45.4,67.1
13,2025-03-31,13:00,86.8,17,81.4,169.1,39.9,65.9
14,2025-03-31,14:00,83.2,14.7,68.9,151.2,41.9,64
15,2025-03-31,15:00,76.5,13.2,69.6,137.3,43.1,50.2
16,2025-03-31,16:00,75.2,18.6,73.8,92.9,46,45.1
17,2025-03-31,17:00,75.6,24.1,77.9,63,47.9,44.9
18,2025-03-31,18:00,68.7,39.9,74.9,53.3,45.6,50.9
19,2025-03-31,19:00,68.4,42.8,71.8,51.2,46.5,58.3
20,2025-03-31,20:00,70.2,38.3,69.5,43.1,43.7,43.2
21,2025-03-31,21:00,66.5,38.3,83.6,77.3,53.2,44.9
22,2025-03-31,22:00,60.4,44.4,94.2,124.3,55.6,43.3
23,2025-03-31,23:00,64.2,46.4,83,159.4,52.2,38.9
24,2025-03-31,00:00,64.8,51.4,79.8,167.9,45.5,39.9
25,2025-04-01,01:00,64.4,56.2,80.2,177.6,47,37.8
26,2025-04-01,02:00,57.1,57.9,86.3,210.3,55.1,36
27,2025-04-01,03:00,60.9,46.3,119,235.2,54.4,37
28,2025-04-01,04:00,65.7,45.1,122.1,261.6,50.8,39.9
29,2025-04-01,05:00,65.1,48,99.3,304.3,48.2,45.9
30,2025-04-01,06:00,75,43,94.5,293.8,45.8,49.9
31,2025-04-01,07:00,75.8,40.4,91.4,286.8,48.3,55.9
32,2025-04-01,08:00,69.8,39.1,86.4,274.1,46.5,53.9
33,2025-04-01,09:00,78.5,38.6,86.1,308.9,53.4,52
34,2025-04-01,10:00,68.9,39.7,79.8,325,55.6,59.8
35,2025-04-01,11:00,57.8,29.9,76.2,229,52.8,58.9
36,2025-04-01,12:00,60.9,20.8,78.4,,47.6,50
37,2025-04-01,13:00,64.4,19.7,80.5,147.7,45.7,50
38,2025-04-01,14:00,64.6,22.3,75.4,130.6,42.6,50.5
39,2025-04-01,15:00,69.5,19.7,73.8,119.2,44.7,49.1
40,2025-04-01,16:00,72.3,17.8,77.1,106.5,46.5,54.9
41,2025-04-01,17:00,66.4,25.1,80.2,76.9,50.7,49
42,2025-04-01,18:00,66.8,29.5,85.5,53.6,47.9,40
43,2025-04-01,19:00,70.1,31.8,82.2,55.9,46.4,39
44,2025-04-01,20:00,66.1,36,98.6,52.3,42.4,32
45,2025-04-01,21:00,65.1,38.7,108.9,102.9,37.9,34.9
46,2025-04-01,22:00,69.3,38,107.6,143.2,34.9,34
47,2025-04-01,23:00,72.4,28,116.8,137.8,33.7,32
48,2025-04-01,00:00,71.1,24.2,140.6,201.1,39.5,36.2
49,2025-04-02,01:00,64.7,26.6,177,264.6,42.8,44.1
50,2025-04-02,02:00,70.4,27.2,154.2,285.4,38.7,47.8
51,2025-04-02,03:00,70.7,35.2,141.8,304.6,39.9,50.8
