date,pm25,fire_count_inner,fire_frp_sum_inner,fire_conf_inner,fire_count_outer,fire_frp_sum_outer,fire_conf_outer,fire_count_total,fire_frp_sum_total,weather_code (wmo code),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa),temperature_2m_max (°C)_center,temperature_2m_mean (°C)_center,temperature_2m_min (°C)_center,precipitation_sum (mm)_center,wind_speed_10m_max (km/h)_center,wind_direction_10m_dominant (°)_center,temperature_2m_max (°C)_south,temperature_2m_mean (°C)_south,temperature_2m_min (°C)_south,precipitation_sum (mm)_south,wind_speed_10m_max (km/h)_south,wind_direction_10m_dominant (°)_south,temperature_2m_max (°C)_east,temperature_2m_mean (°C)_east,temperature_2m_min (°C)_east,precipitation_sum (mm)_east,wind_speed_10m_max (km/h)_east,wind_direction_10m_dominant (°)_east,temperature_2m_max (°C)_west,temperature_2m_mean (°C)_west,temperature_2m_min (°C)_west,precipitation_sum (mm)_west,wind_speed_10m_max (km/h)_west,wind_direction_10m_dominant (°)_west
2019-01-01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,57,100,5,88,100,64,960.0,962.8,958.2,329,3.7,1.0,1.07,24.3,19.5,16.9,2.1,5.4,329,26.3,21.0,17.4,1.7,5.4,45,21.2,16.6,14.2,4.8,9.3,129,18.9,15.6,13.2,2.4,8.4,156
2019-01-02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,67,100,8,80,99,53,959.8,962.5,958.0,342,4.2,1.1,1.45,24.5,19.3,14.3,0.0,7.0,342,27.6,21.1,15.7,0.0,6.4,59,19.8,16.2,13.3,0.1,9.5,124,19.4,16.4,14.0,0.0,9.2,138
2019-01-03,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,55,98,7,74,90,39,960.0,963.2,958.5,120,3.9,1.1,2.01,25.7,18.9,14.2,0.0,8.3,120,28.0,20.7,15.3,0.0,6.6,18,21.0,16.3,12.8,0.0,9.1,131,18.9,16.1,13.2,0.3,7.1,148
2019-01-04,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,63,100,0,79,100,50,959.3,962.6,957.7,305,3.3,0.4,1.7,26.1,18.5,11.5,0.0,6.6,305,29.1,20.6,12.5,0.0,5.2,339,22.6,16.2,10.0,0.0,8.3,119,21.6,16.8,13.4,0.0,8.4,20
2019-01-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,78,98,3,79,96,54,958.1,961.5,956.1,294,4.1,1.4,1.74,28.0,21.1,15.9,0.0,7.4,294,31.8,23.0,15.5,0.0,7.3,333,23.7,18.3,14.4,0.1,10.0,122,23.2,18.6,13.5,0.2,9.1,72
2019-01-06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,37,100,1,82,100,59,958.0,960.4,956.4,245,4.0,0.5,1.5,27.5,22.0,17.3,0.0,7.4,245,31.2,24.0,19.3,2.0,7.7,76,23.2,19.0,15.6,3.9,9.4,125,22.8,19.1,17.0,7.6,7.6,152
2019-01-07,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,90,100,40,87,100,61,957.1,959.9,955.0,224,3.1,0.5,1.29,26.0,21.8,18.5,1.4,5.2,224,29.6,24.1,20.3,4.4,8.9,346,21.7,18.2,15.6,14.0,6.1,127,20.9,18.0,15.9,20.1,4.3,189
2019-01-08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,98,100,78,100,100,96,956.0,957.5,954.5,25,3.8,1.4,0.09,20.1,19.2,18.2,85.4,7.1,25,21.7,21.0,20.4,76.8,5.9,270,17.4,16.5,15.3,78.2,7.9,153,17.4,15.5,13.2,41.4,7.6,185
2019-01-09,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,67,100,5,95,100,84,956.3,958.5,954.9,170,5.9,1.9,0.44,23.4,20.2,17.8,34.3,10.4,170,23.4,21.2,18.9,48.5,5.6,316,20.3,17.1,14.6,45.9,9.1,184,18.5,15.8,13.8,18.1,7.6,206
2019-01-10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,52,100,6,90,100,72,956.5,958.9,954.9,158,5.4,2.6,0.89,25.3,21.0,17.5,3.9,8.0,158,27.1,22.7,20.0,3.7,8.3,134,22.2,18.0,15.3,2.2,11.0,223,20.8,17.3,15.6,1.9,8.7,199
