location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
4,16.766256,98.26003,322.0,25200,Asia/Bangkok,GMT+7

location_id,time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
4,2019-01-01,51,22.9,28.5,19.0,0.70,14.8,63,24,86,0,73,47,96,980.1,982.3,977.9,NaN,NaN,NaN,63,11.5,8.3,2.04
4,2019-01-02,3,22.4,28.0,18.3,0.00,18.7,68,54,96,2,71,42,93,979.7,982.1,977.6,NaN,NaN,NaN,68,12.6,9.3,2.18
4,2019-01-03,3,22.2,27.9,17.7,0.00,12.9,66,82,99,9,69,43,92,980.0,982.9,978.1,NaN,NaN,NaN,66,10.2,7.0,2.12
4,2019-01-04,3,23.5,29.7,18.1,0.00,15.3,71,75,100,9,64,45,80,978.9,981.6,977.5,NaN,NaN,NaN,71,12.1,9.1,2.31
4,2019-01-05,3,24.8,30.1,20.4,0.00,17.4,70,89,100,50,66,46,82,977.7,980.2,976.1,NaN,NaN,NaN,70,14.0,9.6,2.30
4,2019-01-06,53,25.3,29.6,22.1,1.00,16.6,72,74,100,6,69,53,82,977.7,979.6,976.2,NaN,NaN,NaN,72,11.8,5.4,1.95
4,2019-01-07,63,24.6,30.4,21.2,7.30,11.1,63,59,100,8,80,52,100,976.7,978.9,974.3,NaN,NaN,NaN,63,8.0,3.1,2.06
4,2019-01-08,61,21.6,22.5,20.6,11.70,7.9,38,93,100,67,99,94,100,976.5,978.3,975.0,NaN,NaN,NaN,38,4.9,1.6,0.18
4,2019-01-09,53,23.5,28.4,20.5,2.60,12.2,59,37,99,1,88,65,99,977.1,979.2,975.4,NaN,NaN,NaN,59,5.8,0.8,1.31
4,2019-01-10,51,24.6,30.0,20.5,0.10,9.1,13,36,78,0,79,50,99,976.8,978.9,974.8,NaN,NaN,NaN,13,5.4,0.5,2.10
4,2019-01-11,51,24.6,29.7,20.5,1.10,6.8,83,82,100,25,82,55,100,977.2,979.8,975.2,NaN,NaN,NaN,83,4.2,1.5,1.86
4,2019-01-12,51,25.0,30.3,20.8,0.70,7.9,59,75,99,16,77,52,94,977.0,979.5,975.1,NaN,NaN,NaN,59,4.5,0.8,2.06
4,2019-01-13,51,25.3,30.6,20.9,0.30,7.6,55,42,62,16,76,49,96,976.7,979.3,975.2,NaN,NaN,NaN,55,4.6,1.1,2.23
4,2019-01-14,51,25.4,30.5,20.7,0.60,6.5,83,52,100,9,72,48,95,975.3,977.7,973.9,NaN,NaN,NaN,83,4.4,0.7,2.26
4,2019-01-15,3,25.6,31.0,21.1,0.00,12.0,217,38,88,0,64,38,88,975.3,978.0,973.5,NaN,NaN,NaN,217,5.7,1.9,2.76
4,2019-01-16,3,24.8,31.1,18.8,0.00,11.2,244,35,85,1,52,25,77,975.8,978.4,974.1,NaN,NaN,NaN,244,5.4,0.5,3.36
4,2019-01-17,3,24.2,29.9,18.7,0.00,13.6,69,40,95,12,68,45,91,975.9,978.3,974.4,NaN,NaN,NaN,69,9.8,6.7,2.31
4,2019-01-18,51,24.9,30.0,20.1,0.40,16.3,67,26,100,0,64,41,91,976.5,979.1,974.3,NaN,NaN,NaN,67,10.1,6.8,2.51
4,2019-01-19,1,24.9,32.2,18.9,0.00,11.5,52,18,41,1,61,31,92,976.4,978.8,974.2,NaN,NaN,NaN,52,7.5,4.3,3.32
4,2019-01-20,2,25.6,32.6,18.8,0.00,11.7,337,11,56,0,56,29,91,976.3,979.0,974.0,NaN,NaN,NaN,337,5.2,1.3,3.44
4,2019-01-21,2,25.4,32.7,17.7,0.00,11.6,347,14,62,0,51,28,82,976.9,979.9,975.0,NaN,NaN,NaN,347,5.5,0.8,3.55
4,2019-01-22,3,25.3,32.7,18.5,0.00,9.5,68,37,100,0,56,29,77,977.4,980.0,975.2,NaN,NaN,NaN,68,5.9,1.3,3.52
4,2019-01-23,51,24.9,31.5,19.4,0.40,7.8,50,34,100,0,62,34,91,977.5,980.3,975.7,NaN,NaN,NaN,50,4.4,0.5,2.99
4,2019-01-24,3,24.5,30.9,19.1,0.00,8.6,75,45,100,2,62,36,85,977.3,979.8,975.8,NaN,NaN,NaN,75,5.0,0.5,2.88
4,2019-01-25,0,25.0,32.2,18.2,0.00,13.6,68,4,18,0,53,28,88,977.7,980.5,975.7,NaN,NaN,NaN,68,7.2,1.3,3.44
4,2019-01-26,3,23.9,29.8,18.3,0.00,14.7,69,20,100,0,54,35,78,978.6,981.1,977.2,NaN,NaN,NaN,69,9.8,3.8,2.71
4,2019-01-27,1,23.3,29.6,17.2,0.00,15.5,69,3,22,0,57,35,88,978.8,981.7,976.4,NaN,NaN,NaN,69,10.8,7.6,2.70
4,2019-01-28,3,23.9,30.9,18.6,0.00,9.3,67,55,100,0,55,30,73,978.1,981.5,975.5,NaN,NaN,NaN,67,6.1,0.5,3.13
4,2019-01-29,3,23.7,31.2,16.9,0.00,8.7,66,22,86,0,58,30,86,977.2,979.6,975.2,NaN,NaN,NaN,66,5.5,1.3,3.17
4,2019-01-30,1,24.3,31.1,17.5,0.00,12.3,305,5,43,0,59,33,86,977.4,980.8,975.3,NaN,NaN,NaN,305,5.4,1.1,2.91
4,2019-01-31,0,25.6,32.8,18.3,0.00,8.7,66,3,19,0,55,27,83,977.7,980.4,975.7,NaN,NaN,NaN,66,4.8,0.0,3.59
4,2019-02-01,3,25.2,32.1,18.9,0.00,12.1,68,27,100,0,55,34,79,977.2,979.8,975.5,NaN,NaN,NaN,68,8.0,4.3,3.13
4,2019-02-02,51,26.0,31.5,19.7,0.20,10.2,278,17,63,0,59,38,83,976.7,978.9,975.0,NaN,NaN,NaN,278,5.0,1.4,2.85
4,2019-02-03,0,26.3,32.3,19.3,0.00,11.8,235,0,3,0,59,31,92,977.4,979.8,975.4,NaN,NaN,NaN,235,5.7,1.5,3.33
4,2019-02-04,1,26.2,33.3,18.3,0.00,11.6,250,4,46,0,54,31,80,977.7,980.5,975.8,NaN,NaN,NaN,250,5.3,0.5,3.53
4,2019-02-05,1,26.9,33.7,18.2,0.00,11.6,204,3,39,0,50,20,86,976.7,979.5,974.5,NaN,NaN,NaN,204,5.5,1.0,4.08
4,2019-02-06,1,25.4,32.3,18.2,0.00,11.4,233,2,38,0,54,28,73,975.4,977.9,973.5,NaN,NaN,NaN,233,5.7,1.0,3.45
4,2019-02-07,1,25.9,32.8,18.3,0.00,12.1,239,3,31,0,52,22,78,976.6,979.2,974.9,NaN,NaN,NaN,239,5.8,1.8,3.87
4,2019-02-08,0,25.9,33.6,18.1,0.00,13.3,258,0,0,0,56,21,93,976.6,979.5,974.3,NaN,NaN,NaN,258,6.4,1.1,4.09
4,2019-02-09,0,26.0,33.4,18.5,0.00,14.4,268,0,0,0,55,20,92,976.6,979.2,974.9,NaN,NaN,NaN,268,7.0,0.5,4.11
4,2019-02-10,0,26.9,33.9,19.5,0.00,12.7,242,0,3,0,47,18,74,977.5,980.4,975.8,NaN,NaN,NaN,242,5.5,1.9,4.30
4,2019-02-11,2,26.8,34.7,17.6,0.00,11.7,141,10,51,0,48,25,75,978.1,980.5,975.8,NaN,NaN,NaN,141,5.9,2.5,4.10
4,2019-02-12,51,26.4,32.5,21.4,0.70,7.3,77,28,63,1,66,40,83,979.9,982.6,978.1,NaN,NaN,NaN,77,4.2,1.1,2.91
4,2019-02-13,51,26.8,33.0,21.0,0.30,9.1,27,18,54,0,67,36,99,979.4,982.1,977.0,NaN,NaN,NaN,27,5.2,1.9,3.22
4,2019-02-14,51,27.2,33.2,21.3,0.30,9.0,240,9,38,0,61,36,85,977.3,979.9,975.2,NaN,NaN,NaN,240,4.6,1.1,3.24
4,2019-02-15,51,27.3,33.1,21.5,0.10,12.4,230,46,89,8,64,37,94,977.4,979.6,975.2,NaN,NaN,NaN,230,5.1,1.0,3.19
4,2019-02-16,53,25.9,31.9,22.2,1.00,12.0,253,28,61,2,74,44,94,977.5,980.0,975.3,NaN,NaN,NaN,253,5.0,0.8,2.65
4,2019-02-17,55,24.3,29.7,20.0,4.80,16.3,247,45,100,0,76,40,100,976.0,979.4,972.8,NaN,NaN,NaN,247,7.0,1.9,2.49
4,2019-02-18,53,24.4,29.9,20.5,1.80,13.6,241,22,100,0,69,38,100,975.5,978.2,973.8,NaN,NaN,NaN,241,7.2,3.9,2.59
4,2019-02-19,0,25.2,30.1,19.2,0.00,12.8,254,3,16,0,61,40,90,976.9,979.5,975.2,NaN,NaN,NaN,254,6.1,1.9,2.56
4,2019-02-20,0,25.7,31.8,19.1,0.00,12.4,246,0,0,0,54,30,77,978.4,981.2,976.2,NaN,NaN,NaN,246,5.8,0.4,3.28
4,2019-02-21,0,26.2,33.2,19.3,0.00,12.9,261,0,0,0,50,25,71,977.9,981.2,975.3,NaN,NaN,NaN,261,5.7,0.8,3.82
4,2019-02-22,0,26.5,32.8,19.9,0.00,11.4,231,0,0,0,47,25,73,975.9,978.6,973.6,NaN,NaN,NaN,231,6.6,2.1,3.72
4,2019-02-23,0,26.4,32.7,18.9,0.00,12.8,233,0,0,0,48,28,78,975.0,977.1,972.8,NaN,NaN,NaN,233,6.8,2.0,3.49
4,2019-02-24,0,26.5,33.0,19.5,0.00,11.4,245,0,0,0,54,22,88,974.8,977.4,972.3,NaN,NaN,NaN,245,5.5,0.8,3.91
4,2019-02-25,0,26.3,33.8,17.5,0.00,11.6,243,0,2,0,53,19,87,974.7,977.3,972.3,NaN,NaN,NaN,243,5.4,1.5,4.22
4,2019-02-26,1,26.7,33.5,19.9,0.00,11.7,249,8,46,0,58,29,85,974.7,977.8,972.6,NaN,NaN,NaN,249,5.5,1.1,3.69
4,2019-02-27,51,26.9,33.7,20.1,0.20,11.4,243,11,42,0,58,29,90,974.1,977.1,971.6,NaN,NaN,NaN,243,5.0,0.8,3.71
4,2019-02-28,51,27.4,33.0,22.8,0.30,12.5,233,20,83,0,56,34,81,974.1,976.3,972.1,NaN,NaN,NaN,233,6.4,2.4,3.32
4,2019-03-01,3,28.1,34.7,21.8,0.00,13.7,258,43,93,0,50,25,81,974.6,977.2,972.1,NaN,NaN,NaN,258,6.6,0.8,4.11
4,2019-03-02,2,27.1,33.8,21.0,0.00,13.8,231,4,66,0,50,28,79,973.4,976.0,971.2,NaN,NaN,NaN,231,7.4,2.7,3.74
4,2019-03-03,1,26.4,32.9,21.6,0.00,12.8,228,5,40,0,55,33,71,972.7,975.5,970.2,NaN,NaN,NaN,228,7.7,3.7,3.33
4,2019-03-04,1,26.0,32.4,20.6,0.00,14.6,239,8,40,0,58,33,84,973.0,975.8,971.0,NaN,NaN,NaN,239,8.0,2.9,3.23
4,2019-03-05,3,25.0,31.7,20.3,0.00,17.4,242,41,93,0,68,36,93,974.2,976.5,972.3,NaN,NaN,NaN,242,8.6,3.1,2.98
4,2019-03-06,3,25.5,32.6,20.4,0.00,13.6,246,45,94,0,65,33,91,975.1,977.3,972.6,NaN,NaN,NaN,246,7.2,1.1,3.30
4,2019-03-07,51,25.3,32.5,20.6,0.10,13.2,243,41,100,1,71,40,92,975.2,977.4,973.2,NaN,NaN,NaN,243,7.5,3.3,2.95
4,2019-03-08,3,26.0,33.0,21.4,0.00,14.2,250,18,99,0,68,35,96,975.3,978.2,973.1,NaN,NaN,NaN,250,6.9,2.0,3.24
4,2019-03-09,2,26.1,32.9,20.6,0.00,15.3,235,10,56,0,61,35,90,975.0,977.8,973.0,NaN,NaN,NaN,235,7.8,3.5,3.25
4,2019-03-10,1,25.9,32.7,20.9,0.00,14.6,233,5,26,0,55,29,90,975.5,978.2,973.5,NaN,NaN,NaN,233,7.2,2.4,3.51
4,2019-03-11,0,26.3,33.7,19.0,0.00,11.9,231,0,0,0,44,15,76,975.8,978.8,973.5,NaN,NaN,NaN,231,6.0,1.3,4.46
4,2019-03-12,2,26.1,33.6,19.6,0.00,11.2,247,3,54,0,57,26,82,975.4,978.2,972.7,NaN,NaN,NaN,247,6.1,1.3,3.85
4,2019-03-13,3,26.5,34.0,20.6,0.00,13.5,247,32,89,0,67,33,93,975.9,978.4,973.4,NaN,NaN,NaN,247,6.3,0.0,3.52
4,2019-03-14,2,26.9,34.3,21.1,0.00,12.6,250,8,66,0,67,32,97,976.6,979.6,974.1,NaN,NaN,NaN,250,5.3,0.7,3.68
4,2019-03-15,3,27.4,34.5,21.3,0.00,13.4,248,33,92,0,46,19,82,977.2,980.3,975.0,NaN,NaN,NaN,248,5.7,0.5,4.26
