latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.453426,100.1272,372.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,3,27.0,21.8,18.0,0.00,9.0,9,39,92,4,67,88,43,975.9,978.7,973.6,9,6.3,4.2,2.02
2019-01-02,3,27.3,21.3,16.0,0.00,10.8,346,56,100,2,72,97,41,975.6,978.3,973.0,346,8.5,4.9,2.14
2019-01-03,3,27.2,21.0,15.7,0.00,12.2,333,77,98,6,69,97,42,975.7,978.7,973.4,333,8.3,2.9,2.08
2019-01-04,3,29.3,22.1,16.5,0.00,12.2,336,77,100,26,66,86,42,974.7,977.8,972.9,336,8.2,1.6,2.39
2019-01-05,3,30.7,23.9,18.4,0.00,11.0,353,93,100,81,68,88,43,973.8,976.6,971.9,353,7.7,1.8,2.52
2019-01-06,3,30.0,24.4,20.2,0.00,9.2,358,73,99,22,72,89,49,973.3,975.7,971.7,358,6.0,2.2,2.18
2019-01-07,61,29.6,24.6,20.5,5.80,8.6,342,63,100,6,76,97,52,972.1,974.6,969.6,342,3.8,1.0,1.95
2019-01-08,61,22.4,21.4,20.2,18.70,5.5,343,96,100,74,96,99,92,971.3,972.7,969.6,343,3.7,1.9,0.21
2019-01-09,63,25.8,21.8,19.5,19.20,7.3,80,79,100,16,92,99,76,972.0,974.2,970.1,80,3.5,1.0,0.80
2019-01-10,51,26.6,22.6,18.9,1.30,6.4,338,36,100,8,87,98,67,971.5,974.1,969.7,338,4.0,1.3,1.14
2019-01-11,53,27.1,23.3,19.5,3.00,7.0,338,60,100,22,87,99,73,971.9,974.6,970.1,338,3.3,0.8,0.96
2019-01-12,51,28.1,23.7,19.8,0.30,8.0,332,81,99,6,83,98,62,971.8,974.5,970.2,332,5.1,1.8,1.46
2019-01-13,51,29.1,24.0,19.3,0.10,9.3,335,22,71,1,78,98,53,971.5,974.5,969.8,335,5.1,1.1,1.90
2019-01-14,51,28.7,23.8,18.9,0.50,7.1,315,23,64,0,78,98,54,969.8,972.7,968.4,315,4.2,0.7,1.82
2019-01-15,51,26.4,22.9,19.9,2.00,9.3,120,45,91,10,83,94,67,969.8,973.0,968.2,120,3.8,0.5,1.11
2019-01-16,53,26.4,22.4,19.3,3.40,8.6,342,50,100,7,83,98,60,971.0,973.5,969.4,342,5.1,0.8,1.37
2019-01-17,3,27.6,22.5,18.1,0.00,10.7,343,25,92,5,76,95,50,971.6,974.4,969.9,343,7.4,2.2,1.86
2019-01-18,1,27.2,22.3,17.9,0.00,8.6,3,12,35,1,72,94,49,972.1,975.4,969.9,3,5.4,1.3,1.85
2019-01-19,51,28.2,22.6,16.9,0.30,7.9,357,13,43,0,70,93,45,971.4,974.3,969.6,357,4.2,2.1,2.11
2019-01-20,1,29.5,23.3,17.6,0.00,7.9,335,5,26,0,67,92,40,971.0,974.3,969.2,335,4.5,0.7,2.46
2019-01-21,2,28.8,22.9,17.2,0.00,9.2,356,18,53,1,66,86,44,971.8,975.2,970.2,356,5.9,2.6,2.21
2019-01-22,3,27.9,23.0,18.6,0.00,8.9,31,36,86,3,68,88,46,972.8,975.7,971.4,31,4.7,0.5,2.02
2019-01-23,51,27.9,22.6,17.8,0.40,6.1,335,22,54,0,71,93,48,972.6,975.7,970.7,335,4.3,1.3,1.95
2019-01-24,51,28.6,22.8,17.0,0.20,6.6,305,25,100,0,70,95,44,972.2,975.1,970.8,305,3.4,1.1,2.18
2019-01-25,1,29.6,23.1,17.2,0.00,11.1,331,3,28,0,64,96,36,972.8,976.0,971.1,331,5.7,2.3,2.66
2019-01-26,2,28.9,22.6,16.3,0.00,10.2,27,17,77,0,59,88,36,974.2,977.3,972.6,27,6.7,1.8,2.50
2019-01-27,3,28.6,22.1,16.3,0.00,8.7,30,10,81,0,59,83,33,974.1,977.7,971.6,30,4.7,1.6,2.61
2019-01-28,1,28.9,22.2,15.8,0.00,6.5,330,7,37,0,58,88,34,972.9,976.9,970.8,330,3.5,0.5,2.62
2019-01-29,2,29.2,22.3,15.9,0.00,7.9,280,12,60,0,59,83,32,971.9,974.8,970.1,280,4.6,1.3,2.76
2019-01-30,1,30.3,23.2,16.8,0.00,8.6,221,6,44,0,61,84,35,971.8,975.5,969.9,221,4.6,1.8,2.81
2019-01-31,0,30.7,23.7,16.7,0.00,8.7,331,1,13,0,58,86,27,972.5,975.6,970.8,331,4.7,1.3,3.20
2019-02-01,3,30.2,24.2,18.1,0.00,11.0,339,22,90,1,60,84,38,972.4,975.7,970.7,339,6.2,1.8,2.61
2019-02-02,1,30.9,24.4,18.4,0.00,7.5,228,8,34,0,64,88,38,970.9,973.8,968.7,228,5.2,1.4,2.78
2019-02-03,1,32.4,25.2,18.1,0.00,6.4,322,3,24,0,63,94,34,971.4,974.4,969.5,322,3.4,1.0,3.18
2019-02-04,1,33.6,25.0,17.5,0.00,7.1,304,2,34,0,56,85,27,971.6,975.1,969.7,304,4.2,1.9,3.80
2019-02-05,0,32.7,24.2,17.0,0.00,10.2,329,0,0,0,54,79,26,970.9,974.3,968.8,329,6.3,2.0,3.66
2019-02-06,0,33.0,24.4,16.0,0.00,9.0,263,1,13,0,50,78,25,969.0,972.1,967.2,263,5.3,0.8,3.75
2019-02-07,0,33.9,24.9,17.0,0.00,9.2,251,0,0,0,58,94,18,970.1,973.4,968.1,251,3.9,1.3,4.32
2019-02-08,0,33.9,24.8,17.5,0.00,6.9,287,0,0,0,49,72,19,970.1,973.7,967.8,287,4.0,1.3,4.30
2019-02-09,0,33.9,24.4,16.9,0.00,7.8,287,0,0,0,48,70,19,970.0,973.3,968.2,287,4.1,1.4,4.22
2019-02-10,0,33.6,24.8,17.1,0.00,8.4,226,0,0,0,51,73,27,971.1,974.6,969.3,226,4.0,1.6,3.79
2019-02-11,2,33.1,25.7,18.5,0.00,9.7,171,31,68,0,52,71,31,972.5,975.5,970.6,171,4.4,0.5,3.48
2019-02-12,53,29.1,24.8,20.3,1.90,9.7,148,40,80,4,76,91,59,974.8,978.0,973.1,148,4.5,1.6,1.64
2019-02-13,51,32.2,26.1,20.6,0.20,6.3,207,17,47,1,70,96,41,973.9,976.9,971.3,207,2.6,0.8,2.83
2019-02-14,1,32.5,26.1,19.9,0.00,10.7,171,11,47,0,63,86,38,971.5,974.4,969.6,171,4.1,0.5,3.04
2019-02-15,61,30.3,25.8,21.0,1.50,8.8,193,42,96,0,76,98,54,971.5,974.1,969.7,193,4.7,1.1,1.99
2019-02-16,65,30.3,25.2,21.3,14.10,11.1,195,22,68,1,80,99,51,971.2,974.3,968.3,195,5.7,2.2,2.10
2019-02-17,55,31.3,24.5,20.1,1.60,16.1,199,24,93,0,74,100,42,968.7,972.4,965.5,199,9.3,1.1,2.66
2019-02-18,1,31.2,24.8,19.3,0.00,12.9,214,9,44,0,62,92,30,968.4,971.8,966.4,214,7.5,2.3,3.19
