latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.360281,100.13133,19.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (undefined),visibility_min (undefined),visibility_max (undefined),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,3,24.1,28.3,20.1,0.00,11.7,60,54,100,0,57,45,72,1015.3,1018.4,1012.5,NaN,NaN,NaN,60,8.6,4.6,2.10
2019-01-02,3,23.1,28.2,18.5,0.00,12.0,46,92,100,17,64,46,82,1014.8,1017.5,1012.0,NaN,NaN,NaN,46,8.5,5.4,2.08
2019-01-03,3,23.8,28.3,19.0,0.00,13.6,23,83,98,41,64,48,83,1014.6,1017.6,1012.3,NaN,NaN,NaN,23,8.3,5.0,1.99
2019-01-04,3,25.0,29.4,21.4,0.00,10.7,13,89,100,20,66,51,78,1013.4,1016.3,1011.4,NaN,NaN,NaN,13,8.0,4.9,2.01
2019-01-05,51,25.0,28.2,22.6,0.60,10.2,13,100,100,94,74,61,83,1012.5,1014.7,1010.8,NaN,NaN,NaN,13,6.7,3.6,1.48
2019-01-06,51,26.3,31.0,23.1,0.30,11.5,8,87,100,55,74,52,92,1011.8,1014.3,1009.7,NaN,NaN,NaN,8,7.7,4.3,2.14
2019-01-07,51,27.0,32.6,22.8,0.30,13.4,49,32,81,8,73,48,91,1010.5,1013.0,1007.4,NaN,NaN,NaN,49,7.0,1.3,2.57
2019-01-08,61,26.2,30.9,22.7,6.60,10.0,179,45,98,3,83,62,96,1010.1,1011.6,1007.8,NaN,NaN,NaN,179,6.1,1.1,1.70
2019-01-09,3,26.2,30.4,23.0,0.00,7.4,34,58,100,14,84,64,98,1010.9,1012.9,1008.6,NaN,NaN,NaN,34,4.7,1.1,1.57
2019-01-10,51,27.0,30.9,23.1,0.80,7.9,325,59,97,14,79,56,97,1010.3,1012.4,1007.6,NaN,NaN,NaN,325,4.9,1.6,1.95
2019-01-11,3,27.6,31.6,24.0,0.00,9.4,350,90,98,26,78,58,94,1010.3,1012.8,1007.8,NaN,NaN,NaN,350,5.8,0.7,1.90
2019-01-12,51,27.6,31.1,24.7,0.20,9.1,348,61,96,5,75,58,91,1010.2,1012.8,1008.2,NaN,NaN,NaN,348,7.0,2.1,1.86
2019-01-13,51,27.9,32.6,23.9,0.20,9.8,14,39,86,7,71,46,93,1010.0,1012.7,1008.0,NaN,NaN,NaN,14,6.7,4.7,2.65
2019-01-14,2,27.9,32.9,23.4,0.00,9.5,9,23,64,5,69,44,97,1008.4,1010.8,1006.3,NaN,NaN,NaN,9,5.8,2.2,2.81
2019-01-15,3,27.7,32.0,23.7,0.00,10.8,149,65,98,12,69,50,84,1008.6,1011.2,1006.7,NaN,NaN,NaN,149,5.3,1.5,2.38
2019-01-16,3,27.8,32.2,24.3,0.00,14.2,56,61,98,22,64,41,92,1009.3,1011.8,1007.2,NaN,NaN,NaN,56,7.1,3.7,2.84
2019-01-17,2,27.1,31.9,23.2,0.00,16.0,79,33,73,0,58,41,80,1010.0,1012.9,1008.0,NaN,NaN,NaN,79,10.0,1.5,2.78
2019-01-18,2,26.1,30.9,22.2,0.00,15.4,87,32,72,7,54,42,64,1011.3,1014.4,1008.4,NaN,NaN,NaN,87,10.8,6.2,2.59
2019-01-19,51,24.8,28.5,22.7,1.00,8.0,352,69,100,10,68,53,79,1010.9,1013.6,1008.9,NaN,NaN,NaN,352,4.8,2.6,1.82
2019-01-20,51,26.8,31.9,21.8,0.30,10.1,4,29,84,4,65,44,90,1009.8,1012.4,1007.6,NaN,NaN,NaN,4,7.1,4.6,2.63
2019-01-21,2,26.9,31.8,22.2,0.00,12.4,36,28,75,5,63,43,87,1010.5,1013.5,1008.7,NaN,NaN,NaN,36,8.3,5.1,2.68
2019-01-22,3,26.7,31.8,23.0,0.00,18.4,83,62,98,22,57,38,84,1011.9,1014.9,1009.4,NaN,NaN,NaN,83,10.9,5.5,2.89
2019-01-23,3,26.0,31.5,20.7,0.00,10.5,86,13,80,0,54,39,71,1011.7,1014.4,1009.2,NaN,NaN,NaN,86,7.6,4.3,2.83
2019-01-24,1,25.8,32.3,19.1,0.00,9.2,37,4,24,0,56,34,90,1011.3,1014.1,1009.2,NaN,NaN,NaN,37,5.4,2.2,3.19
2019-01-25,2,26.2,32.7,19.4,0.00,8.9,72,10,75,0,57,32,87,1011.7,1014.4,1009.4,NaN,NaN,NaN,72,6.0,2.2,3.37
2019-01-26,2,26.0,31.5,21.7,0.00,18.4,82,23,69,0,48,30,68,1013.1,1016.2,1010.9,NaN,NaN,NaN,82,11.6,4.0,3.26
2019-01-27,3,24.8,30.8,20.1,0.00,16.2,75,24,96,0,50,30,70,1013.4,1016.8,1010.6,NaN,NaN,NaN,75,10.0,5.1,3.09
2019-01-28,0,24.6,31.2,18.5,0.00,10.7,26,2,9,0,55,32,86,1012.4,1015.9,1009.6,NaN,NaN,NaN,26,7.2,2.4,3.10
2019-01-29,3,25.6,31.8,18.8,0.00,8.1,21,33,95,0,55,33,90,1011.3,1013.8,1009.1,NaN,NaN,NaN,21,5.1,1.9,3.16
2019-01-30,1,26.2,32.7,19.7,0.00,8.6,10,5,43,0,59,36,89,1010.9,1013.9,1008.5,NaN,NaN,NaN,10,5.1,1.1,3.16
2019-01-31,2,26.9,33.4,20.4,0.00,8.4,359,14,62,0,59,36,90,1011.2,1013.9,1009.2,NaN,NaN,NaN,359,6.7,4.9,3.27
2019-02-01,2,27.6,33.0,22.6,0.00,17.1,86,17,78,1,51,32,78,1011.2,1014.0,1009.0,NaN,NaN,NaN,86,9.4,5.4,3.43
2019-02-02,1,27.8,33.4,22.7,0.00,9.5,93,9,40,0,54,36,71,1010.0,1012.7,1007.3,NaN,NaN,NaN,93,5.1,0.8,3.27
2019-02-03,3,28.5,34.4,23.0,0.00,8.6,152,32,89,0,61,37,91,1010.3,1013.1,1007.8,NaN,NaN,NaN,152,5.3,1.6,3.41
2019-02-04,3,28.5,34.9,22.7,0.00,7.9,139,40,94,0,63,36,90,1010.6,1013.5,1008.2,NaN,NaN,NaN,139,4.9,1.3,3.56
2019-02-05,1,28.7,35.6,23.0,0.00,8.5,360,5,48,0,61,34,87,1009.5,1012.6,1007.0,NaN,NaN,NaN,360,5.5,0.5,3.83
2019-02-06,3,29.4,35.6,24.6,0.00,13.8,172,19,100,0,66,33,98,1008.3,1010.8,1005.6,NaN,NaN,NaN,172,8.9,5.1,3.87
2019-02-07,2,29.6,35.0,24.7,0.00,13.1,175,17,69,0,66,40,96,1009.3,1012.0,1007.0,NaN,NaN,NaN,175,7.4,2.7,3.35
2019-02-08,0,29.6,35.9,24.3,0.00,9.8,76,2,9,0,62,34,93,1009.1,1011.9,1006.3,NaN,NaN,NaN,76,6.0,1.6,3.90
2019-02-09,1,29.6,35.4,24.2,0.00,9.4,86,8,32,0,61,36,94,1008.9,1011.6,1006.6,NaN,NaN,NaN,86,6.1,1.5,3.64
2019-02-10,1,30.2,35.5,24.7,0.00,10.3,147,15,35,6,60,42,91,1010.1,1012.8,1007.8,NaN,NaN,NaN,147,6.0,0.8,3.30
2019-02-11,53,29.2,34.0,25.8,0.90,13.1,159,22,89,4,71,50,91,1011.7,1013.9,1009.4,NaN,NaN,NaN,159,8.2,2.5,2.67
2019-02-12,51,28.0,33.2,24.2,0.60,14.8,359,30,94,3,76,48,97,1013.7,1017.1,1011.3,NaN,NaN,NaN,359,5.3,0.0,2.62
2019-02-13,51,28.6,32.8,24.3,0.30,8.6,351,12,47,0,72,50,96,1012.8,1015.2,1010.1,NaN,NaN,NaN,351,5.4,1.1,2.47
2019-02-14,51,28.8,33.3,24.3,0.30,9.7,167,18,60,0,68,48,91,1010.5,1013.2,1008.1,NaN,NaN,NaN,167,6.4,4.3,2.66
2019-02-15,53,28.7,33.4,24.9,0.80,12.6,170,48,84,9,69,49,95,1010.6,1013.1,1008.5,NaN,NaN,NaN,170,8.3,1.6,2.64
2019-02-16,51,28.2,33.2,25.0,1.40,12.9,185,48,85,24,70,47,93,1010.6,1013.3,1007.8,NaN,NaN,NaN,185,8.9,3.6,2.70
2019-02-17,53,27.0,31.9,24.0,4.90,17.4,176,40,91,11,76,50,94,1009.2,1012.2,1006.3,NaN,NaN,NaN,176,7.3,2.3,2.36
2019-02-18,0,27.8,33.8,22.7,0.00,14.4,174,2,8,0,65,32,96,1008.4,1011.6,1005.9,NaN,NaN,NaN,174,8.7,4.6,3.59
