latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.711775,100.43355,29.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (undefined),visibility_min (undefined),visibility_max (undefined),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,3,24.1,28.7,19.6,0.00,15.9,75,63,100,1,57,44,75,1014.2,1017.0,1011.5,NaN,NaN,NaN,75,10.5,5.7,2.19
2019-01-02,3,23.4,28.6,19.3,0.00,13.9,63,84,100,9,62,44,78,1013.7,1016.3,1010.8,NaN,NaN,NaN,63,8.9,5.6,2.20
2019-01-03,3,23.5,28.0,19.4,0.00,11.6,37,81,98,8,65,50,79,1013.5,1016.4,1011.2,NaN,NaN,NaN,37,7.8,4.3,1.88
2019-01-04,3,24.6,29.8,20.1,0.00,11.1,12,89,100,26,71,48,89,1012.3,1015.2,1010.3,NaN,NaN,NaN,12,5.1,2.5,2.17
2019-01-05,51,25.2,28.8,22.2,0.30,6.9,45,100,100,99,75,58,88,1011.4,1013.6,1009.7,NaN,NaN,NaN,45,4.5,0.4,1.67
2019-01-06,51,26.3,31.0,22.7,0.10,11.2,26,87,100,59,76,52,96,1010.7,1013.0,1008.8,NaN,NaN,NaN,26,6.5,3.5,2.14
2019-01-07,2,26.8,32.5,21.9,0.00,9.5,86,23,57,3,74,48,99,1009.5,1011.9,1006.2,NaN,NaN,NaN,86,5.8,2.9,2.52
2019-01-08,53,27.0,32.6,22.6,1.50,15.8,175,47,95,9,74,47,96,1008.9,1010.6,1006.3,NaN,NaN,NaN,175,8.1,1.5,2.63
2019-01-09,51,26.1,30.5,22.5,0.90,9.1,29,55,100,12,84,60,99,1009.8,1011.9,1007.5,NaN,NaN,NaN,29,4.6,1.8,1.73
2019-01-10,51,27.2,32.0,23.0,0.60,7.1,9,52,97,8,76,48,99,1009.1,1011.4,1006.4,NaN,NaN,NaN,9,4.8,3.0,2.46
2019-01-11,3,27.7,32.4,23.3,0.00,8.3,360,91,99,54,74,49,97,1009.2,1011.6,1006.6,NaN,NaN,NaN,360,5.7,2.7,2.46
2019-01-12,51,27.6,31.8,24.0,0.70,9.9,359,60,97,12,71,49,90,1009.1,1011.8,1007.1,NaN,NaN,NaN,359,5.7,3.3,2.38
2019-01-13,3,27.9,32.7,23.2,0.00,8.1,15,32,89,8,69,44,95,1008.9,1011.7,1006.9,NaN,NaN,NaN,15,5.8,4.1,2.77
