latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
20.773285,99.91911,540.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (undefined),visibility_min (undefined),visibility_max (undefined),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,17.3,19.4,15.4,1.50,5.8,297,78,100,30,94,82,100,958.3,960.7,956.6,NaN,NaN,NaN,297,2.9,1.5,0.41
2019-01-02,51,17.1,21.7,14.0,0.20,7.3,339,50,100,14,88,65,100,958.0,960.6,956.3,NaN,NaN,NaN,339,4.6,1.3,0.91
2019-01-03,3,16.5,22.0,11.5,0.00,6.6,328,58,87,9,84,63,98,957.8,961.3,956.1,NaN,NaN,NaN,328,3.8,0.8,0.99
2019-01-04,3,16.7,23.4,10.1,0.00,8.1,340,71,100,4,82,59,95,956.9,960.5,955.3,NaN,NaN,NaN,340,5.2,0.5,1.17
2019-01-05,3,18.8,24.9,13.6,0.00,7.4,327,81,100,34,82,63,91,956.1,959.4,954.5,NaN,NaN,NaN,327,5.0,1.3,1.15
2019-01-06,3,20.4,25.4,16.0,0.00,7.2,341,43,81,9,86,66,97,955.6,958.2,954.2,NaN,NaN,NaN,341,3.9,0.8,1.08
2019-01-07,63,19.6,22.4,17.3,20.30,5.1,338,78,100,26,96,88,100,954.4,957.4,952.6,NaN,NaN,NaN,338,3.6,1.6,0.32
2019-01-08,63,18.7,19.5,17.8,61.40,9.7,144,99,100,91,100,97,100,952.9,954.2,951.3,NaN,NaN,NaN,144,4.8,1.3,0.07
2019-01-09,65,18.4,20.4,17.0,21.30,8.1,253,83,100,50,96,87,100,953.7,956.2,951.6,NaN,NaN,NaN,253,4.1,2.1,0.31
2019-01-10,51,20.0,23.7,17.1,0.10,6.5,184,56,100,6,89,72,98,953.4,955.9,951.7,NaN,NaN,NaN,184,3.8,0.5,0.81
2019-01-11,1,19.9,24.7,15.4,0.00,7.1,354,20,49,1,86,68,96,953.8,956.7,952.2,NaN,NaN,NaN,354,4.4,1.1,0.98
2019-01-12,3,19.6,25.5,14.2,0.00,7.0,357,84,100,5,84,61,96,953.9,957.0,952.2,NaN,NaN,NaN,357,4.3,0.7,1.29
2019-01-13,3,19.7,25.8,13.4,0.00,7.4,9,73,100,20,82,58,96,953.6,957.0,951.8,NaN,NaN,NaN,9,4.5,0.0,1.41
2019-01-14,3,19.4,25.5,13.1,0.00,7.8,4,38,97,0,81,57,97,951.8,955.1,950.5,NaN,NaN,NaN,4,4.8,1.5,1.38
2019-01-15,53,19.8,25.1,14.5,0.90,8.8,192,46,100,0,84,67,93,951.4,954.6,949.9,NaN,NaN,NaN,192,5.1,0.8,1.05
2019-01-16,53,19.0,24.4,14.7,1.10,6.8,322,43,100,0,81,50,100,952.9,955.8,951.4,NaN,NaN,NaN,322,4.3,0.7,1.52
2019-01-17,51,17.6,23.0,11.9,1.30,7.7,356,35,92,0,85,70,95,954.1,957.3,951.9,NaN,NaN,NaN,356,4.6,1.9,0.84
2019-01-18,51,18.7,22.9,14.1,0.20,9.7,292,30,53,15,87,68,98,954.0,957.3,952.0,NaN,NaN,NaN,292,4.7,1.1,0.89
2019-01-19,51,18.7,23.4,13.9,0.30,7.2,348,23,45,5,87,68,97,953.3,956.2,951.5,NaN,NaN,NaN,348,4.6,0.8,0.91
2019-01-20,2,19.1,24.4,14.2,0.00,8.0,344,17,69,1,81,57,95,953.2,956.4,951.5,NaN,NaN,NaN,344,5.5,1.8,1.31
2019-01-21,1,19.1,24.7,12.4,0.00,8.0,345,6,26,0,78,57,95,953.9,957.4,952.3,NaN,NaN,NaN,345,4.7,1.1,1.33
2019-01-22,51,18.8,24.1,13.0,0.10,9.5,160,12,43,0,83,66,95,954.5,957.8,952.8,NaN,NaN,NaN,160,5.2,0.8,1.02
2019-01-23,2,18.9,24.6,13.3,0.00,6.9,13,10,53,0,82,61,97,954.2,957.4,952.5,NaN,NaN,NaN,13,4.4,1.3,1.21
2019-01-24,0,18.0,25.4,11.2,0.00,8.0,360,0,1,0,77,45,95,953.9,957.2,952.1,NaN,NaN,NaN,360,5.3,1.0,1.78
2019-01-25,0,18.0,26.4,10.0,0.00,7.6,356,0,0,0,72,37,94,954.7,958.2,952.5,NaN,NaN,NaN,356,4.6,1.3,2.18
2019-01-26,2,17.6,25.0,9.8,0.00,9.7,331,20,78,0,76,50,96,956.0,959.6,954.0,NaN,NaN,NaN,331,5.2,1.5,1.58
2019-01-27,2,17.8,23.6,11.8,0.00,10.6,295,18,67,0,78,55,95,955.7,959.3,953.4,NaN,NaN,NaN,295,5.2,0.8,1.31
2019-01-28,1,18.7,25.0,12.3,0.00,9.7,332,10,46,0,77,52,93,954.6,958.5,952.8,NaN,NaN,NaN,332,5.2,1.3,1.53
2019-01-29,2,19.1,24.8,13.0,0.00,10.8,197,16,72,0,77,53,93,953.5,956.5,952.2,NaN,NaN,NaN,197,5.5,0.8,1.46
2019-01-30,1,19.2,25.3,13.6,0.00,11.0,73,11,34,1,80,58,95,953.5,957.0,951.5,NaN,NaN,NaN,73,5.6,1.3,1.37
2019-01-31,1,19.7,27.0,14.0,0.00,9.4,342,8,35,0,70,43,92,954.7,958.0,952.6,NaN,NaN,NaN,342,5.5,0.5,1.98
2019-02-01,0,19.3,26.9,12.5,0.00,10.3,338,2,8,0,73,42,93,954.6,958.4,952.2,NaN,NaN,NaN,338,5.6,1.4,2.05
2019-02-02,1,20.1,26.7,13.2,0.00,9.1,57,3,41,0,73,51,90,952.5,955.9,950.6,NaN,NaN,NaN,57,5.4,1.8,1.71
2019-02-03,0,20.1,28.3,12.7,0.00,7.6,356,0,0,0,72,33,98,953.2,956.8,951.1,NaN,NaN,NaN,356,4.8,0.5,2.60
2019-02-04,0,19.7,28.6,11.8,0.00,9.7,12,1,17,0,68,36,90,953.6,957.4,952.1,NaN,NaN,NaN,12,5.3,0.7,2.51
2019-02-05,0,19.0,28.2,9.9,0.00,8.3,359,1,5,0,60,24,87,953.0,957.0,951.1,NaN,NaN,NaN,359,4.9,0.0,2.91
2019-02-06,0,19.0,27.5,9.4,0.00,10.7,67,0,0,0,62,33,89,950.7,954.2,948.7,NaN,NaN,NaN,67,5.5,1.5,2.41
2019-02-07,0,19.8,28.4,11.6,0.00,11.0,67,0,0,0,66,35,90,951.7,955.2,949.1,NaN,NaN,NaN,67,5.9,1.5,2.38
2019-02-08,0,19.9,28.9,11.2,0.00,9.7,46,0,0,0,62,34,83,951.9,955.6,950.2,NaN,NaN,NaN,46,6.1,1.6,2.57
2019-02-09,0,20.1,29.3,11.0,0.00,9.3,53,0,0,0,63,33,84,951.8,955.5,949.4,NaN,NaN,NaN,53,5.3,1.8,2.72
