latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.578207,101.003975,506.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (undefined),visibility_min (undefined),visibility_max (undefined),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,17.8,22.5,13.8,0.40,7.2,72,51,100,11,86,64,99,962.0,964.7,960.3,NaN,NaN,NaN,72,4.9,1.0,0.96
2019-01-02,51,18.4,24.5,13.8,0.10,10.2,55,72,100,12,79,52,97,961.5,964.2,959.3,NaN,NaN,NaN,55,8.3,6.1,1.46
2019-01-03,3,18.1,24.3,11.4,0.00,8.0,72,79,100,28,78,48,98,961.5,964.6,959.7,NaN,NaN,NaN,72,5.0,0.5,1.57
2019-01-04,3,19.0,25.7,13.3,0.00,7.5,75,73,98,20,82,56,97,960.4,963.9,958.7,NaN,NaN,NaN,75,4.7,1.3,1.46
2019-01-05,51,20.9,27.4,15.2,0.10,7.5,84,94,100,81,83,55,96,959.7,962.5,958.3,NaN,NaN,NaN,84,4.6,2.1,1.62
2019-01-06,61,21.3,26.8,16.9,5.20,5.5,96,70,100,26,89,65,100,959.4,961.8,958.0,NaN,NaN,NaN,96,3.1,0.0,1.22
2019-01-07,61,20.9,25.0,17.4,5.70,5.3,93,63,100,15,92,78,98,958.1,960.9,956.5,NaN,NaN,NaN,93,2.8,0.8,0.70
2019-01-08,63,19.7,22.7,17.3,14.60,6.4,315,92,100,43,97,83,100,957.0,958.7,954.5,NaN,NaN,NaN,315,3.2,0.8,0.46
2019-01-09,65,20.4,24.6,17.5,34.40,10.0,255,63,100,17,93,74,100,957.8,960.1,955.8,NaN,NaN,NaN,255,3.9,0.8,0.78
2019-01-10,51,20.0,25.0,16.8,2.00,8.7,80,50,100,3,92,75,100,957.4,960.1,955.8,NaN,NaN,NaN,80,3.4,1.1,0.79
2019-01-11,51,20.8,25.8,16.5,0.30,8.7,150,49,96,6,88,71,99,957.9,960.7,956.4,NaN,NaN,NaN,150,4.4,1.8,0.95
2019-01-12,51,20.9,26.5,16.8,0.30,5.6,81,96,99,86,87,65,97,957.9,960.8,956.2,NaN,NaN,NaN,81,3.9,1.1,1.21
2019-01-13,51,21.0,26.6,17.1,0.30,5.2,104,35,82,1,86,64,98,957.5,960.7,956.1,NaN,NaN,NaN,104,3.4,1.1,1.25
2019-01-14,2,20.7,27.0,15.7,0.00,7.0,149,24,74,2,84,59,98,955.8,958.8,954.5,NaN,NaN,NaN,149,4.0,2.0,1.46
2019-01-15,51,20.1,26.2,15.4,0.90,6.3,138,50,97,11,88,67,99,955.6,958.9,953.5,NaN,NaN,NaN,138,3.5,1.1,1.14
2019-01-16,55,19.4,23.4,16.1,7.70,5.4,79,62,100,4,95,82,100,957.0,959.7,955.0,NaN,NaN,NaN,79,3.3,0.5,0.52
