latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.101933,99.639725,742.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,22.9,18.5,15.2,0.40,6.8,325,54,99,12,82,99,57,934.6,937.3,933.2,325,3.7,0.7,1.21
2019-01-02,3,23.9,18.0,14.2,0.00,10.5,356,73,100,50,79,97,48,934.2,937.1,932.7,356,5.3,4.1,1.54
2019-01-03,3,23.8,18.2,13.6,0.00,7.4,337,79,99,24,73,96,48,934.4,937.5,932.7,337,4.9,2.5,1.55
2019-01-04,3,26.3,19.1,13.8,0.00,7.4,333,84,100,38,74,88,47,933.6,936.8,931.7,333,5.6,2.1,1.80
2019-01-05,3,26.5,20.6,16.0,0.00,8.4,358,87,99,61,76,90,51,932.8,935.8,931.3,358,5.4,3.3,1.70
2019-01-06,51,26.0,21.2,17.5,0.50,7.5,5,74,98,8,80,94,55,932.6,935.1,930.9,5,4.1,0.8,1.51
2019-01-07,53,26.6,21.5,18.0,3.60,5.8,338,64,100,20,84,100,57,931.5,934.1,929.7,338,3.3,1.1,1.50
2019-01-08,63,19.8,18.7,17.2,25.30,4.7,48,97,100,84,98,100,91,930.3,931.8,928.8,48,3.1,1.8,0.19
2019-01-09,53,23.9,19.8,17.2,2.20,7.5,134,67,100,12,92,100,74,931.1,933.1,929.7,134,4.7,0.5,0.75
2019-01-10,53,24.4,20.5,17.4,2.80,6.1,156,73,100,12,91,100,78,930.8,933.3,929.3,156,3.2,1.1,0.66
2019-01-11,53,25.0,21.0,17.0,1.70,6.0,298,66,100,12,87,99,68,931.3,934.2,929.8,298,3.0,0.4,1.01
2019-01-12,51,25.5,21.3,17.7,0.60,6.7,320,79,99,8,84,96,65,931.3,934.1,929.5,320,4.2,0.5,1.14
2019-01-13,51,26.7,21.5,17.0,0.10,7.2,310,23,100,1,81,99,54,931.0,934.2,929.5,310,4.1,0.8,1.58
2019-01-14,51,26.5,21.6,17.0,0.10,6.2,287,31,83,1,77,96,54,929.4,932.4,927.8,287,3.9,1.3,1.60
2019-01-15,53,24.7,21.0,18.2,1.80,8.9,142,53,91,7,84,97,69,929.2,932.3,927.6,142,4.9,1.3,0.97
2019-01-16,51,24.6,20.1,16.6,2.10,7.1,52,52,95,5,86,100,62,930.1,932.7,928.2,52,3.7,0.8,1.17
2019-01-17,51,24.2,19.8,16.2,0.10,6.6,335,37,89,4,80,97,59,930.7,933.6,928.7,335,4.3,0.4,1.24
2019-01-18,1,24.1,19.9,15.3,0.00,7.4,132,17,32,2,74,98,53,931.2,934.5,929.6,132,4.6,2.3,1.40
2019-01-19,1,26.0,20.3,14.8,0.00,5.6,287,11,29,0,71,97,44,930.6,933.8,928.9,287,3.3,0.0,1.86
2019-01-20,1,26.8,20.9,15.3,0.00,6.1,322,8,30,0,66,93,42,930.4,933.8,929.0,322,4.5,1.8,2.02
2019-01-21,2,27.1,21.0,15.6,0.00,7.7,319,22,72,1,63,82,41,931.1,934.5,928.8,319,4.3,1.1,2.11
2019-01-22,51,25.3,20.7,16.0,0.20,10.8,184,26,69,3,67,92,48,931.9,935.0,930.0,184,5.6,0.8,1.66
2019-01-23,51,24.9,20.8,17.2,0.80,6.6,139,36,73,0,69,89,53,931.8,934.9,930.3,139,3.6,0.5,1.48
2019-01-24,3,26.4,20.8,15.9,0.00,8.0,253,36,88,0,65,92,44,931.5,934.5,929.6,253,4.2,0.4,1.93
2019-01-25,2,27.8,20.6,14.9,0.00,8.3,324,12,74,0,63,94,37,931.9,935.5,929.6,324,5.4,2.6,2.37
2019-01-26,2,25.6,20.1,13.9,0.00,8.8,109,26,79,0,60,87,39,933.1,936.3,930.7,109,5.5,2.3,1.98
2019-01-27,3,25.9,20.0,14.4,0.00,7.9,102,18,95,0,58,85,35,933.1,936.8,930.9,102,5.1,1.1,2.17
2019-01-28,3,26.9,20.5,13.5,0.00,6.6,297,13,94,0,58,92,33,932.1,936.0,930.6,297,3.7,1.1,2.37
2019-01-29,2,26.8,20.4,13.7,0.00,7.4,207,13,76,0,58,90,33,931.2,934.2,929.5,207,4.4,1.3,2.34
2019-01-30,2,28.2,21.2,15.1,0.00,7.0,254,8,75,0,58,77,35,931.2,935.0,929.3,254,4.5,1.1,2.50
2019-01-31,0,28.1,21.3,14.5,0.00,8.0,311,3,8,0,59,89,38,931.7,935.1,929.4,311,5.3,3.1,2.36
2019-02-01,3,27.9,21.6,15.3,0.00,7.2,322,22,100,0,60,84,39,931.8,935.2,929.9,322,4.8,0.8,2.28
2019-02-02,1,28.5,22.4,16.2,0.00,8.1,262,14,37,0,62,90,39,930.5,933.6,928.9,262,4.8,0.7,2.35
2019-02-03,0,29.3,23.0,16.4,0.00,7.3,300,1,17,0,55,89,27,931.2,934.4,928.6,300,4.7,0.5,2.96
2019-02-04,1,30.3,22.6,15.1,0.00,7.1,300,5,44,0,51,88,26,931.3,934.9,929.2,300,4.9,2.2,3.18
2019-02-05,1,29.9,22.2,15.3,0.00,8.4,303,2,45,0,49,81,21,930.5,934.2,928.4,303,5.9,3.0,3.35
2019-02-06,0,30.4,22.1,13.0,0.00,8.7,268,0,0,0,51,87,27,928.7,932.2,925.9,268,5.1,1.8,3.14
2019-02-07,0,30.5,22.6,13.9,0.00,7.7,267,0,0,0,53,86,23,929.8,933.6,927.0,267,5.2,0.8,3.35
2019-02-08,0,30.4,23.0,15.2,0.00,7.7,303,0,0,0,49,85,21,930.0,933.7,927.9,303,5.3,0.7,3.43
2019-02-09,0,30.1,22.2,14.3,0.00,8.2,303,0,0,0,45,77,23,929.7,933.3,926.9,303,5.9,1.1,3.28
2019-02-10,0,31.0,22.7,15.5,0.00,8.7,285,0,0,0,46,70,24,930.8,934.5,928.2,285,5.9,2.3,3.39
2019-02-11,2,30.5,23.4,15.2,0.00,9.7,196,23,66,0,52,80,33,932.2,935.5,929.7,196,5.7,0.5,2.93
2019-02-12,63,27.0,22.3,18.1,3.40,8.8,154,37,94,6,78,99,57,934.3,937.3,932.2,154,5.9,1.9,1.53
2019-02-13,51,29.4,23.7,18.9,0.10,7.5,81,17,40,1,67,98,36,933.6,936.7,931.5,81,3.6,0.7,2.63
2019-02-14,51,30.0,23.8,17.2,0.10,7.4,217,7,29,0,58,86,37,931.2,934.4,929.1,217,4.7,1.5,2.68
2019-02-15,51,29.0,23.2,17.9,0.20,11.7,150,44,100,0,74,95,43,931.1,934.2,928.6,150,5.6,0.7,2.30
2019-02-16,53,26.8,22.2,18.6,2.10,9.7,166,23,54,1,84,98,60,930.8,934.2,927.9,166,6.3,2.7,1.40
2019-02-17,51,27.8,22.0,18.2,0.60,10.5,178,41,100,0,73,100,39,928.5,932.2,925.9,178,8.5,4.5,2.20
2019-02-18,2,28.4,21.8,15.3,0.00,12.3,207,14,66,0,62,94,31,928.1,931.6,926.0,207,6.4,2.8,2.68
2019-02-19,0,29.3,22.7,16.4,0.00,7.9,234,3,12,0,53,82,28,930.1,933.6,927.2,234,5.9,2.2,2.94
2019-02-20,0,30.0,22.8,16.8,0.00,8.3,247,0,5,0,53,76,29,931.7,935.6,929.3,247,6.0,1.8,3.00
2019-02-21,0,30.8,23.3,16.0,0.00,7.5,269,0,0,0,56,88,25,931.5,935.5,929.5,269,5.0,2.2,3.27
2019-02-22,0,31.4,23.7,16.2,0.00,10.8,236,0,0,0,50,78,21,929.0,932.8,926.6,236,6.5,3.9,3.63
2019-02-23,0,31.5,24.3,17.4,0.00,10.5,244,0,0,0,47,77,25,928.1,931.2,926.2,244,6.3,2.5,3.47
2019-02-24,0,31.7,24.0,16.8,0.00,11.0,250,0,0,0,44,75,19,927.9,931.4,925.8,250,6.3,2.4,3.77
2019-02-25,0,31.4,23.8,16.1,0.00,11.2,192,0,4,0,56,92,28,928.0,931.6,925.8,192,6.2,1.1,3.29
2019-02-26,1,30.6,24.3,17.6,0.00,10.4,195,8,32,0,49,70,30,928.4,932.2,926.1,195,6.0,1.6,3.08
2019-02-27,2,30.8,24.1,18.2,0.00,8.6,176,9,50,0,63,98,29,928.1,931.7,926.3,176,4.8,1.8,3.16
2019-02-28,2,30.7,24.5,18.4,0.00,10.2,170,16,53,0,59,88,33,927.7,930.6,925.8,170,4.8,0.0,2.97
2019-03-01,3,32.0,24.9,18.1,0.00,9.6,222,33,85,0,56,93,26,928.1,931.8,926.5,222,5.2,0.7,3.51
2019-03-02,0,32.0,24.6,17.6,0.00,9.8,237,2,16,0,46,75,24,926.5,930.3,924.7,237,6.2,2.1,3.62
2019-03-03,3,31.5,25.3,18.7,0.00,9.1,259,7,100,0,43,71,26,925.9,929.6,924.2,259,5.5,2.3,3.42
2019-03-04,0,31.7,25.0,17.9,0.00,9.7,250,0,2,0,41,74,20,925.7,929.3,923.6,250,7.1,4.8,3.72
2019-03-05,0,31.5,24.3,16.5,0.00,10.0,236,1,16,0,47,81,22,926.5,929.9,924.1,236,7.0,4.4,3.62
2019-03-06,1,31.5,24.4,18.2,0.00,10.1,217,5,35,0,47,70,28,927.7,930.9,926.0,217,7.1,5.1,3.29
2019-03-07,2,32.5,25.2,19.0,0.00,10.8,231,13,67,0,45,69,25,927.8,930.9,925.6,231,6.1,3.4,3.68
2019-03-08,3,32.9,26.2,20.5,0.00,13.0,242,11,94,0,46,72,22,928.1,931.4,926.1,242,9.0,6.8,3.90
2019-03-09,3,32.6,26.2,19.5,0.00,12.7,255,32,86,0,44,80,22,927.7,930.9,925.6,255,8.6,3.1,3.80
2019-03-10,2,31.6,25.1,19.5,0.00,9.5,269,9,58,0,44,80,22,928.6,932.2,926.6,269,7.5,4.3,3.61
2019-03-11,0,31.3,23.7,17.0,0.00,7.8,282,0,0,0,40,66,22,928.8,933.0,926.3,282,6.1,2.3,3.55
2019-03-12,0,32.0,24.3,17.3,0.00,9.2,255,0,0,0,40,67,22,928.4,932.0,926.1,255,6.1,2.8,3.68
2019-03-13,3,32.3,25.0,18.1,0.00,9.7,250,15,92,0,43,72,25,929.1,932.8,926.7,250,5.9,2.2,3.63
2019-03-14,1,32.7,25.0,17.5,0.00,9.1,214,3,43,0,49,81,25,929.9,933.5,927.4,214,4.2,1.0,3.69
2019-03-15,3,32.2,25.6,19.5,0.00,8.0,163,43,93,0,51,79,28,930.8,934.6,928.8,163,4.5,0.7,3.47
2019-03-16,2,31.4,25.7,19.0,0.00,11.5,169,14,70,0,52,73,34,930.7,934.0,928.3,169,5.6,1.5,3.05
2019-03-17,1,31.0,25.5,20.0,0.00,10.2,161,9,43,0,61,92,36,930.6,934.2,928.1,161,5.9,1.1,2.88
2019-03-18,61,31.7,25.1,20.5,2.30,16.2,173,21,69,0,63,90,39,929.3,933.0,926.6,173,5.9,1.6,2.86
