date,pm25,fire_count_inner,fire_frp_sum_inner,fire_conf_inner,fire_count_outer,fire_frp_sum_outer,fire_conf_outer,fire_count_total,fire_frp_sum_total,weather_code (wmo code),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa),temperature_2m_max (°C)_center,temperature_2m_mean (°C)_center,temperature_2m_min (°C)_center,precipitation_sum (mm)_center,wind_speed_10m_max (km/h)_center,wind_direction_10m_dominant (°)_center,temperature_2m_max (°C)_north,temperature_2m_mean (°C)_north,temperature_2m_min (°C)_north,precipitation_sum (mm)_north,wind_speed_10m_max (km/h)_north,wind_direction_10m_dominant (°)_north,temperature_2m_max (°C)_south,temperature_2m_mean (°C)_south,temperature_2m_min (°C)_south,precipitation_sum (mm)_south,wind_speed_10m_max (km/h)_south,wind_direction_10m_dominant (°)_south,temperature_2m_max (°C)_east,temperature_2m_mean (°C)_east,temperature_2m_min (°C)_east,precipitation_sum (mm)_east,wind_speed_10m_max (km/h)_east,wind_direction_10m_dominant (°)_east,temperature_2m_max (°C)_west,temperature_2m_mean (°C)_west,temperature_2m_min (°C)_west,precipitation_sum (mm)_west,wind_speed_10m_max (km/h)_west,wind_direction_10m_dominant (°)_west
2023-01-01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,49,84,0,73,97,42,986.8,990.0,984.5,65,3.9,2.5,2.17,27.8,20.8,14.9,0.0,6.5,65,24.8,18.6,14.0,0.0,9.0,63,27.2,19.5,13.0,0.0,7.6,11,26.6,20.5,16.1,0.0,10.1,75,22.0,17.3,13.2,0.0,7.5,107
2023-01-02,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,48,85,0,70,99,37,987.3,990.7,985.6,52,4.4,2.3,2.5,28.8,20.9,13.1,0.0,8.9,52,25.3,18.7,12.2,0.0,12.0,54,28.0,19.8,12.6,0.0,9.9,8,27.3,20.7,14.3,0.0,13.2,65,22.8,17.8,12.7,0.0,10.2,85
2023-01-03,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,83,100,58,71,94,50,987.3,989.8,985.0,29,4.5,2.1,1.78,27.0,22.0,17.0,0.0,11.4,29,23.5,19.7,16.2,0.0,12.4,36,25.8,21.0,16.8,0.0,11.5,350,26.0,21.5,17.4,0.0,11.4,52,21.5,17.6,13.3,0.0,7.7,61
2023-01-04,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,67,93,24,71,89,46,986.3,989.5,984.1,11,3.4,1.6,2.14,28.8,23.6,19.2,0.0,6.7,11,26.4,21.4,17.5,0.0,9.4,34,28.4,22.9,18.8,0.0,6.6,345,27.8,22.8,18.9,0.0,8.9,45,23.4,19.1,15.7,0.0,6.9,59
2023-01-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,50,96,0,71,96,44,986.0,989.3,983.5,43,4.0,1.8,2.31,29.7,23.5,17.0,0.0,8.2,43,27.0,21.3,15.9,0.0,11.0,46,29.6,22.6,16.6,0.0,10.2,8,28.7,22.9,17.0,0.0,11.5,50,24.3,19.5,15.2,0.0,9.3,59
2023-01-06,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,81,100,57,65,90,44,987.0,990.1,985.1,36,6.9,3.2,2.2,28.7,23.2,17.9,0.0,13.8,36,25.4,21.2,17.2,0.0,12.7,53,27.9,22.3,17.0,0.0,13.4,26,27.3,22.5,17.6,0.0,11.9,45,22.5,18.5,13.8,0.0,13.2,43
2023-01-07,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,32,94,0,57,81,36,986.1,989.7,982.8,16,5.9,3.6,2.39,28.1,21.5,15.6,0.0,10.7,16,25.4,19.4,15.8,0.0,10.2,24,27.5,21.1,15.8,0.0,11.2,344,27.1,20.5,15.1,0.0,8.5,27,22.0,16.7,12.4,0.0,12.1,20
2023-01-08,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28,89,0,64,87,40,984.9,987.9,983.0,5,3.3,0.8,2.29,28.2,20.6,12.9,0.0,6.8,5,25.9,19.8,13.6,0.0,8.6,6,27.8,20.3,13.4,0.0,10.2,346,27.9,20.8,13.8,0.0,6.4,19,22.6,16.9,11.6,0.0,8.0,29
2023-01-09,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,71,93,52,64,88,41,985.1,988.1,983.3,14,3.8,1.1,2.16,28.0,22.4,15.6,0.0,7.2,14,26.1,21.2,17.0,0.0,8.2,13,27.6,21.9,16.3,0.0,9.8,340,27.8,22.3,16.5,0.0,7.9,25,22.5,18.7,15.0,0.0,7.7,43
2023-01-10,16.0,0.0,0.0,0.0,1.0,7.5,58.0,1.0,7.5,3,54,88,13,64,85,39,983.1,986.3,980.7,353,2.4,0.5,2.62,30.2,24.0,18.7,0.0,4.5,353,28.2,22.5,17.8,0.0,5.6,356,30.2,23.5,18.4,0.0,7.3,337,30.3,24.0,19.2,0.0,5.7,16,25.7,20.6,16.8,0.0,5.5,43
2023-01-11,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,42,87,0,73,92,49,981.5,984.7,979.0,48,2.9,1.3,2.1,29.5,23.4,18.0,0.0,6.0,48,26.4,21.1,18.2,3.8,5.3,155,29.1,22.4,18.0,0.1,6.4,273,28.7,22.9,18.7,0.5,7.0,105,24.9,19.9,16.3,0.0,6.5,145
2023-01-12,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,63,91,24,73,99,40,980.6,983.7,978.5,181,3.8,0.4,2.58,30.6,24.5,19.2,0.0,8.8,181,26.8,21.7,17.9,0.3,8.8,177,28.8,22.8,18.4,0.6,9.7,231,29.2,23.9,20.2,0.3,9.7,166,25.4,20.7,17.3,0.1,10.0,211
2023-01-13,11.0,0.0,0.0,0.0,4.0,64.1,70.0,4.0,64.1,45,22,71,0,68,100,34,981.3,985.0,979.1,218,3.4,0.5,2.94,31.2,23.8,16.1,0.0,8.7,218,28.5,22.2,16.6,0.0,11.1,257,30.6,22.9,16.6,0.0,12.0,237,30.1,24.1,18.6,0.0,13.4,237,26.0,20.5,14.8,0.0,13.4,234
2023-01-14,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,9,61,0,63,99,28,980.0,983.5,977.9,157,3.2,0.5,3.17,30.6,21.2,11.6,0.0,6.3,157,28.9,20.9,13.6,0.0,7.7,263,31.0,21.6,14.1,0.0,8.7,244,30.4,22.9,15.9,0.0,9.2,259,26.6,20.3,14.5,0.0,8.7,247
2023-01-15,14.0,0.0,0.0,0.0,2.0,17.6,51.0,2.0,17.6,45,7,43,0,68,98,32,979.7,983.0,977.6,34,2.5,0.7,2.92,30.6,21.0,12.6,0.0,4.4,34,28.8,21.0,13.2,0.0,5.6,314,30.2,20.8,12.1,0.0,5.6,4,30.4,22.8,16.4,0.0,7.3,322,25.9,20.1,14.4,0.0,7.6,317
2023-01-16,20.0,0.0,0.0,0.0,1.0,32.7,60.0,1.0,32.7,45,16,61,0,64,100,34,981.4,984.7,979.5,132,3.6,0.5,2.85,30.6,21.0,11.9,0.0,8.3,132,28.6,20.5,12.6,0.0,9.6,226,30.4,20.9,12.6,0.0,7.2,305,30.2,22.2,14.0,0.0,9.4,124,26.1,20.0,14.6,0.0,6.6,157
2023-01-17,22.0,0.0,0.0,0.0,1.0,7.3,47.0,1.0,7.3,45,45,92,0,71,99,40,982.9,986.6,980.9,139,4.9,0.8,2.54,30.0,21.2,12.5,0.0,11.2,139,26.9,20.6,13.8,0.0,11.5,150,29.6,21.6,14.5,0.0,10.4,240,28.7,22.9,15.5,0.0,11.5,136,24.8,19.5,13.9,0.0,10.2,164
2023-01-18,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,45,90,0,74,97,46,984.6,987.9,983.1,123,4.4,1.8,2.2,29.3,22.5,16.9,0.3,8.7,123,26.3,21.0,16.6,0.1,9.0,104,28.8,22.4,16.9,0.0,9.8,46,28.2,23.2,18.3,0.0,10.1,116,24.5,19.4,15.5,0.0,8.4,148
2023-01-19,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,74,100,2,72,98,41,984.6,987.9,982.3,145,3.9,0.5,2.44,29.6,22.6,16.8,0.0,7.8,145,25.7,20.4,15.8,0.0,7.4,104,28.1,21.4,14.9,0.0,6.9,12,28.2,22.8,17.9,0.0,8.9,110,24.4,19.5,15.5,0.0,5.6,150
2023-01-20,19.0,0.0,0.0,0.0,2.0,58.7,81.5,2.0,58.7,45,32,100,0,69,98,37,984.3,987.7,982.4,106,2.5,0.8,2.68,30.1,22.8,15.7,0.0,4.3,106,27.2,20.4,13.8,0.0,6.6,78,28.8,21.5,14.1,0.0,5.4,321,28.7,22.4,15.8,0.0,6.6,94,25.2,19.6,14.0,0.0,5.0,141
2023-01-21,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,37,100,0,69,100,34,983.2,987.2,980.5,71,2.9,1.3,2.91,30.7,22.1,13.4,0.0,4.6,71,28.0,20.6,13.8,0.0,6.7,121,30.2,21.2,12.7,0.0,5.4,301,29.8,22.5,15.4,0.0,6.8,110,25.9,19.9,14.6,0.0,6.6,192
2023-01-22,23.0,0.0,0.0,0.0,7.0,72.9,68.42857142857143,7.0,72.9,45,21,65,0,68,100,31,982.0,985.8,979.6,29,2.6,0.8,3.16,31.3,22.4,13.9,0.0,3.8,29,29.2,22.0,14.2,0.0,4.3,296,31.0,21.4,12.4,0.0,5.4,308,30.8,23.6,17.6,0.0,6.1,17,26.9,20.8,15.0,0.0,5.7,244
2023-01-23,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,21,65,0,67,100,29,981.2,984.3,979.2,51,2.5,0.5,3.33,31.9,22.4,13.5,0.0,3.7,51,29.6,22.7,14.6,0.0,4.2,343,31.6,21.4,12.0,0.0,4.8,341,31.1,24.2,17.4,0.0,6.0,351,27.5,21.4,14.9,0.0,5.2,334
2023-01-24,36.0,0.0,0.0,0.0,2.0,24.3,71.0,2.0,24.3,45,50,79,0,67,100,33,982.9,986.6,981.1,75,6.0,2.0,3.13,32.0,23.1,14.8,0.0,14.8,75,29.1,22.6,15.4,0.0,18.4,82,31.2,22.3,14.7,0.0,16.1,72,30.4,24.0,16.5,0.0,19.2,81,25.8,21.2,15.6,0.0,16.9,95
2023-01-25,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,40,81,0,64,90,38,983.4,987.4,980.8,60,3.9,0.7,2.54,29.4,22.5,16.6,0.0,6.5,60,26.5,20.5,15.8,0.0,7.6,83,28.2,21.5,14.6,0.0,7.0,20,28.0,22.8,18.1,0.0,8.7,85,24.0,19.1,14.0,0.0,7.3,102
2023-01-26,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,16,62,0,67,100,37,982.1,985.2,979.4,164,2.9,0.7,2.67,30.0,22.5,13.7,0.0,4.7,164,27.8,20.8,15.0,0.0,7.7,171,29.4,20.6,12.2,0.0,7.6,240,29.2,22.8,16.7,0.0,7.4,156,25.5,20.0,14.8,0.0,5.8,213
2023-01-27,41.0,0.0,0.0,0.0,2.0,19.5,62.0,2.0,19.5,45,34,67,0,66,100,35,982.5,986.3,979.9,73,5.4,0.5,2.98,31.6,23.2,14.4,0.0,14.6,73,28.4,21.7,15.3,0.0,15.9,86,30.4,21.9,13.5,0.0,16.5,77,30.5,23.8,16.9,0.0,15.2,89,26.3,20.8,15.8,0.0,11.2,111
2023-01-28,34.0,0.0,0.0,0.0,2.0,42.699999999999996,47.5,2.0,42.699999999999996,3,58,100,0,62,89,36,983.5,987.4,981.4,62,6.0,2.7,2.56,29.2,22.8,17.5,0.0,10.2,62,26.5,20.7,16.3,0.0,11.4,78,28.1,21.5,15.5,0.0,12.8,54,28.3,23.0,18.9,0.0,12.2,82,23.3,19.2,15.0,0.0,10.1,92
2023-01-29,41.0,1.0,7.6,54.0,2.0,16.1,56.5,3.0,23.700000000000003,3,59,100,0,65,91,39,985.0,988.4,983.1,57,7.1,2.8,2.25,27.6,21.4,16.0,0.0,15.0,57,24.4,19.3,14.4,0.0,13.7,78,27.0,19.8,13.4,0.0,12.6,49,26.3,21.1,15.9,0.0,13.4,69,21.5,17.6,14.2,0.0,11.6,79
2023-01-30,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24,89,0,59,91,33,985.5,989.3,982.1,52,4.6,2.8,2.66,28.9,21.8,14.4,0.0,9.4,52,25.8,19.6,14.0,0.0,10.8,68,27.9,19.8,11.5,0.0,7.4,1,27.9,21.1,14.0,0.0,9.4,61,23.2,17.7,12.2,0.0,8.9,60
2023-01-31,61.0,1.0,15.9,75.0,6.0,67.8,59.0,7.0,83.7,45,17,65,0,66,99,32,982.2,985.7,978.9,171,3.0,0.5,2.87,29.9,21.1,12.2,0.0,4.6,171,27.3,20.4,13.9,0.0,6.6,165,29.4,19.8,9.9,0.0,4.8,266,29.2,22.2,16.0,0.0,6.4,139,26.0,19.6,13.8,0.0,5.0,200
2023-02-01,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,27,80,0,65,100,36,980.5,983.5,978.2,166,2.7,1.3,3.05,32.0,23.4,14.2,0.0,4.0,166,29.6,22.1,15.4,0.0,6.1,184,31.6,21.8,12.6,0.0,5.1,250,31.3,24.1,17.5,0.0,5.9,145,28.1,21.6,16.2,0.0,4.8,221
2023-02-02,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,9,48,0,65,98,31,980.9,984.3,978.7,132,2.9,0.8,3.41,33.0,24.4,15.8,0.0,6.3,132,30.4,23.1,16.3,0.0,7.9,151,32.4,23.4,14.6,0.0,4.7,283,32.4,25.5,18.9,0.0,8.1,125,29.2,22.9,17.7,0.0,5.8,161
2023-02-03,54.0,0.0,0.0,0.0,1.0,37.0,79.0,1.0,37.0,45,31,90,0,68,100,37,981.0,984.4,978.7,157,4.0,1.3,3.18,33.1,24.6,16.0,0.0,11.1,157,30.6,24.2,18.5,0.0,9.9,162,32.5,24.5,16.8,0.0,10.0,234,32.4,26.1,19.4,0.0,10.5,147,28.7,23.4,19.3,0.0,10.0,176
2023-02-04,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,33,79,0,71,96,43,979.8,982.7,977.3,170,4.6,1.5,2.93,33.4,26.3,19.9,0.4,13.8,170,29.6,24.4,19.4,0.4,12.2,165,31.9,25.1,18.6,0.0,12.2,216,32.0,26.2,21.6,0.9,11.9,151,28.8,23.3,18.8,0.3,10.4,194
2023-02-05,41.0,2.0,14.399999999999999,53.5,3.0,23.1,51.666666666666664,5.0,37.5,80,44,88,9,72,97,40,979.6,983.1,977.1,180,5.1,0.7,3.1,33.6,27.1,21.8,0.7,14.1,180,30.3,24.7,19.6,0.7,10.7,176,31.9,25.8,21.2,0.5,11.6,202,32.4,26.5,22.6,2.1,14.0,166,28.7,23.2,19.2,0.7,9.9,209
2023-02-06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,41,75,10,62,97,27,979.5,983.1,976.3,224,4.2,0.7,4.09,35.0,28.0,21.8,0.0,10.5,224,32.4,25.8,19.6,0.0,10.7,221,34.3,27.0,20.4,0.0,10.4,217,33.4,27.4,21.5,0.0,12.8,217,29.7,23.9,19.0,0.0,13.5,235
2023-02-07,32.0,3.0,29.7,48.666666666666664,12.0,122.1,55.916666666666664,15.0,151.79999999999998,45,16,63,0,55,99,20,979.5,983.5,977.2,242,5.9,0.4,4.68,35.7,25.6,14.7,0.0,16.9,242,32.4,25.1,17.1,0.0,15.3,243,34.9,26.1,18.4,0.0,15.1,223,33.7,26.7,19.3,0.0,16.7,239,29.5,23.3,16.7,0.0,15.8,235
2023-02-08,40.0,5.0,111.8,67.6,2.0,15.0,55.5,7.0,126.8,45,13,67,0,53,99,23,979.9,983.9,977.1,205,3.5,0.5,4.01,34.0,25.1,13.1,0.0,8.4,205,32.3,24.5,17.5,0.0,9.2,248,34.3,24.5,14.7,0.0,9.4,234,33.1,26.2,18.8,0.0,11.8,238,28.5,22.6,17.5,0.0,11.4,232
2023-02-09,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,25,70,0,57,97,26,980.0,983.9,977.9,214,3.7,0.7,3.92,34.1,24.2,12.3,0.0,8.9,214,32.3,24.7,17.4,0.0,11.8,265,34.6,25.1,14.7,0.0,11.0,253,33.4,26.2,18.8,0.0,13.4,260,29.2,22.7,15.7,0.0,13.3,231
2023-02-10,58.0,5.0,87.6,49.4,10.0,183.1,59.6,15.0,270.7,45,45,100,0,57,99,27,980.2,984.1,978.0,210,3.6,0.4,3.89,34.2,25.6,15.1,0.0,8.7,210,32.3,25.0,17.2,0.0,10.8,269,34.7,25.8,16.0,0.0,10.7,250,33.4,26.9,20.8,0.0,12.9,258,29.3,23.1,16.9,0.0,13.7,240
2023-02-11,66.0,0.0,0.0,0.0,4.0,73.7,46.5,4.0,73.7,45,8,42,0,54,95,26,980.1,983.8,977.5,178,3.5,0.7,4.01,34.5,25.2,13.5,0.0,7.7,178,32.8,25.0,17.5,0.0,10.8,260,35.0,26.0,16.1,0.0,11.5,243,33.6,26.8,19.9,0.0,12.9,246,29.5,23.2,17.4,0.0,12.1,240
