latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.25,99.5,263.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),temperature_2m_mean (°C),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2023-01-01,45,27.8,14.9,0.00,6.5,65,20.8,49,84,0,73,97,42,986.8,990.0,984.5,24140.00,24140.00,24140.00,65,3.9,2.5,2.17
2023-01-02,45,28.8,13.1,0.00,8.9,52,20.9,48,85,0,70,99,37,987.3,990.7,985.6,24140.00,24140.00,24140.00,52,4.4,2.3,2.50
2023-01-03,3,27.0,17.0,0.00,11.4,29,22.0,83,100,58,71,94,50,987.3,989.8,985.0,24140.00,24140.00,24140.00,29,4.5,2.1,1.78
2023-01-04,3,28.8,19.2,0.00,6.7,11,23.6,67,93,24,71,89,46,986.3,989.5,984.1,24140.00,24140.00,24140.00,11,3.4,1.6,2.14
2023-01-05,3,29.7,17.0,0.00,8.2,43,23.5,50,96,0,71,96,44,986.0,989.3,983.5,24140.00,24140.00,24140.00,43,4.0,1.8,2.31
2023-01-06,3,28.7,17.9,0.00,13.8,36,23.2,81,100,57,65,90,44,987.0,990.1,985.1,24140.00,24140.00,24140.00,36,6.9,3.2,2.20
2023-01-07,3,28.1,15.6,0.00,10.7,16,21.5,32,94,0,57,81,36,986.1,989.7,982.8,24140.00,24140.00,24140.00,16,5.9,3.6,2.39
2023-01-08,3,28.2,12.9,0.00,6.8,5,20.6,28,89,0,64,87,40,984.9,987.9,983.0,24140.00,24140.00,24140.00,5,3.3,0.8,2.29
2023-01-09,3,28.0,15.6,0.00,7.2,14,22.4,71,93,52,64,88,41,985.1,988.1,983.3,24140.00,24140.00,24140.00,14,3.8,1.1,2.16
2023-01-10,3,30.2,18.7,0.00,4.5,353,24.0,54,88,13,64,85,39,983.1,986.3,980.7,24140.00,24140.00,24140.00,353,2.4,0.5,2.62
2023-01-11,3,29.5,18.0,0.00,6.0,48,23.4,42,87,0,73,92,49,981.5,984.7,979.0,24140.00,24140.00,24140.00,48,2.9,1.3,2.10
2023-01-12,45,30.6,19.2,0.00,8.8,181,24.5,63,91,24,73,99,40,980.6,983.7,978.5,23983.33,23280.00,24140.00,181,3.8,0.4,2.58
2023-01-13,45,31.2,16.1,0.00,8.7,218,23.8,22,71,0,68,100,34,981.3,985.0,979.1,24140.00,24140.00,24140.00,218,3.4,0.5,2.94
2023-01-14,45,30.6,11.6,0.00,6.3,157,21.2,9,61,0,63,99,28,980.0,983.5,977.9,24140.00,24140.00,24140.00,157,3.2,0.5,3.17
2023-01-15,45,30.6,12.6,0.00,4.4,34,21.0,7,43,0,68,98,32,979.7,983.0,977.6,24140.00,24140.00,24140.00,34,2.5,0.7,2.92
2023-01-16,45,30.6,11.9,0.00,8.3,132,21.0,16,61,0,64,100,34,981.4,984.7,979.5,24140.00,24140.00,24140.00,132,3.6,0.5,2.85
2023-01-17,45,30.0,12.5,0.00,11.2,139,21.2,45,92,0,71,99,40,982.9,986.6,980.9,24140.00,24140.00,24140.00,139,4.9,0.8,2.54
2023-01-18,45,29.3,16.9,0.30,8.7,123,22.5,45,90,0,74,97,46,984.6,987.9,983.1,24140.00,24140.00,24140.00,123,4.4,1.8,2.20
2023-01-19,45,29.6,16.8,0.00,7.8,145,22.6,74,100,2,72,98,41,984.6,987.9,982.3,24140.00,24140.00,24140.00,145,3.9,0.5,2.44
2023-01-20,45,30.1,15.7,0.00,4.3,106,22.8,32,100,0,69,98,37,984.3,987.7,982.4,24140.00,24140.00,24140.00,106,2.5,0.8,2.68
2023-01-21,45,30.7,13.4,0.00,4.6,71,22.1,37,100,0,69,100,34,983.2,987.2,980.5,24140.00,24140.00,24140.00,71,2.9,1.3,2.91
2023-01-22,45,31.3,13.9,0.00,3.8,29,22.4,21,65,0,68,100,31,982.0,985.8,979.6,24140.00,24140.00,24140.00,29,2.6,0.8,3.16
2023-01-23,45,31.9,13.5,0.00,3.7,51,22.4,21,65,0,67,100,29,981.2,984.3,979.2,24140.00,24140.00,24140.00,51,2.5,0.5,3.33
2023-01-24,45,32.0,14.8,0.00,14.8,75,23.1,50,79,0,67,100,33,982.9,986.6,981.1,24140.00,24140.00,24140.00,75,6.0,2.0,3.13
2023-01-25,2,29.4,16.6,0.00,6.5,60,22.5,40,81,0,64,90,38,983.4,987.4,980.8,24140.00,24140.00,24140.00,60,3.9,0.7,2.54
2023-01-26,45,30.0,13.7,0.00,4.7,164,22.5,16,62,0,67,100,37,982.1,985.2,979.4,24140.00,24140.00,24140.00,164,2.9,0.7,2.67
2023-01-27,45,31.6,14.4,0.00,14.6,73,23.2,34,67,0,66,100,35,982.5,986.3,979.9,24140.00,24140.00,24140.00,73,5.4,0.5,2.98
2023-01-28,3,29.2,17.5,0.00,10.2,62,22.8,58,100,0,62,89,36,983.5,987.4,981.4,24140.00,24140.00,24140.00,62,6.0,2.7,2.56
2023-01-29,3,27.6,16.0,0.00,15.0,57,21.4,59,100,0,65,91,39,985.0,988.4,983.1,24140.00,24140.00,24140.00,57,7.1,2.8,2.25
2023-01-30,3,28.9,14.4,0.00,9.4,52,21.8,24,89,0,59,91,33,985.5,989.3,982.1,24140.00,24140.00,24140.00,52,4.6,2.8,2.66
2023-01-31,45,29.9,12.2,0.00,4.6,171,21.1,17,65,0,66,99,32,982.2,985.7,978.9,24140.00,24140.00,24140.00,171,3.0,0.5,2.87
2023-02-01,45,32.0,14.2,0.00,4.0,166,23.4,27,80,0,65,100,36,980.5,983.5,978.2,24140.00,24140.00,24140.00,166,2.7,1.3,3.05
2023-02-02,45,33.0,15.8,0.00,6.3,132,24.4,9,48,0,65,98,31,980.9,984.3,978.7,24140.00,24140.00,24140.00,132,2.9,0.8,3.41
2023-02-03,45,33.1,16.0,0.00,11.1,157,24.6,31,90,0,68,100,37,981.0,984.4,978.7,24140.00,24140.00,24140.00,157,4.0,1.3,3.18
2023-02-04,80,33.4,19.9,0.40,13.8,170,26.3,33,79,0,71,96,43,979.8,982.7,977.3,24140.00,24140.00,24140.00,170,4.6,1.5,2.93
2023-02-05,80,33.6,21.8,0.70,14.1,180,27.1,44,88,9,72,97,40,979.6,983.1,977.1,24140.00,24140.00,24140.00,180,5.1,0.7,3.10
2023-02-06,45,35.0,21.8,0.00,10.5,224,28.0,41,75,10,62,97,27,979.5,983.1,976.3,24140.00,24140.00,24140.00,224,4.2,0.7,4.09
2023-02-07,45,35.7,14.7,0.00,16.9,242,25.6,16,63,0,55,99,20,979.5,983.5,977.2,24140.00,24140.00,24140.00,242,5.9,0.4,4.68
2023-02-08,45,34.0,13.1,0.00,8.4,205,25.1,13,67,0,53,99,23,979.9,983.9,977.1,24140.00,24140.00,24140.00,205,3.5,0.5,4.01
2023-02-09,45,34.1,12.3,0.00,8.9,214,24.2,25,70,0,57,97,26,980.0,983.9,977.9,24140.00,24140.00,24140.00,214,3.7,0.7,3.92
2023-02-10,45,34.2,15.1,0.00,8.7,210,25.6,45,100,0,57,99,27,980.2,984.1,978.0,24140.00,24140.00,24140.00,210,3.6,0.4,3.89
2023-02-11,45,34.5,13.5,0.00,7.7,178,25.2,8,42,0,54,95,26,980.1,983.8,977.5,24140.00,24140.00,24140.00,178,3.5,0.7,4.01
2023-02-12,45,35.0,12.4,0.00,6.6,171,24.8,7,63,0,54,99,19,980.3,984.1,978.6,24140.00,24140.00,24140.00,171,3.3,0.8,4.46
2023-02-13,45,34.6,13.4,0.00,8.4,167,24.3,14,63,0,59,99,18,980.2,983.9,978.2,24140.00,24140.00,24140.00,167,4.0,0.7,4.43
2023-02-14,3,34.2,16.0,0.00,7.1,162,25.5,12,100,0,56,92,24,980.5,984.6,978.0,24140.00,24140.00,24140.00,162,3.4,1.0,4.09
2023-02-15,3,34.9,15.7,0.00,19.7,133,25.3,22,85,0,64,89,30,981.3,984.8,979.2,24140.00,24140.00,24140.00,133,7.1,3.1,3.86
2023-02-16,95,28.3,20.8,10.50,5.9,9,24.3,72,99,0,79,94,60,984.5,987.4,982.2,22807.50,5260.00,24140.00,9,3.3,0.0,1.53
2023-02-17,81,27.3,19.6,6.40,8.4,342,22.7,81,100,50,80,92,58,985.5,987.7,983.3,23825.83,16980.00,24140.00,342,4.7,1.5,1.53
2023-02-18,3,29.0,19.3,0.00,3.2,36,23.6,45,100,0,70,92,44,984.2,987.3,981.4,24140.00,24140.00,24140.00,36,1.8,0.0,2.24
2023-02-19,45,32.1,17.1,0.00,4.3,10,24.3,19,64,0,70,100,36,982.8,986.2,980.1,24140.00,24140.00,24140.00,10,2.6,1.0,3.06
