latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.734621,99.813354,906.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,20.9,17.3,14.9,0.10,8.3,60,56,100,5,83,99,63,917.7,920.3,916.2,60,5.3,1.8,0.92
2019-01-02,3,21.7,16.5,12.9,0.00,9.1,38,65,100,14,82,99,59,917.2,920.1,915.5,38,6.3,3.9,1.06
2019-01-03,3,21.8,16.8,12.7,0.00,6.6,27,78,97,8,77,92,56,917.3,920.5,915.4,27,5.3,3.6,1.15
2019-01-04,3,23.1,18.1,12.9,0.00,8.4,38,85,100,60,74,91,59,916.7,919.9,914.5,38,6.0,4.1,1.15
2019-01-05,51,24.3,19.5,14.4,0.20,10.1,49,88,99,36,77,92,61,916.2,919.1,914.3,49,6.0,1.9,1.19
2019-01-06,55,24.2,20.4,16.9,2.20,9.4,61,65,97,15,81,98,67,916.1,918.4,914.3,61,5.1,0.8,1.00
2019-01-07,61,24.4,20.4,16.2,6.50,5.4,136,75,100,14,86,100,67,914.9,917.4,912.9,136,3.2,1.1,1.01
2019-01-08,63,18.8,17.7,16.8,37.40,6.6,192,97,100,86,99,100,93,913.4,915.0,911.6,192,3.7,1.1,0.15
2019-01-09,61,21.5,18.2,16.1,12.40,7.2,155,78,100,17,96,100,85,914.0,916.2,912.8,155,4.2,0.4,0.39
2019-01-10,51,23.0,19.0,15.5,3.70,6.9,201,56,100,4,95,100,86,913.9,916.4,912.2,201,4.2,1.5,0.39
2019-01-11,53,23.6,20.0,16.7,3.20,9.2,239,62,99,4,91,100,77,914.5,917.3,913.1,239,3.6,1.5,0.68
2019-01-12,53,23.7,20.6,17.5,1.80,4.7,357,94,99,68,84,94,69,914.8,917.5,912.8,357,2.4,1.0,0.90
2019-01-13,51,25.3,21.2,17.6,0.40,5.8,99,42,76,1,77,91,58,914.6,917.5,912.9,99,2.4,0.8,1.36
2019-01-14,51,23.6,20.3,16.8,1.60,4.7,217,23,61,0,81,91,72,912.6,915.7,911.0,217,2.8,0.7,0.81
2019-01-15,61,22.3,19.6,17.6,5.50,8.9,174,47,96,8,88,98,78,912.4,915.4,910.8,174,5.3,3.1,0.54
2019-01-16,55,21.7,18.5,16.5,6.10,8.2,94,69,100,3,92,100,74,913.4,915.6,911.6,94,4.3,1.5,0.60
2019-01-17,51,21.9,18.7,14.5,0.70,10.4,45,31,74,3,81,97,69,914.1,916.8,911.8,45,5.0,0.5,0.83
2019-01-18,51,22.0,18.4,14.2,0.20,9.1,88,18,41,2,79,98,61,914.3,917.4,912.8,88,5.9,3.8,0.97
2019-01-19,51,23.9,19.5,16.3,0.10,6.7,182,13,30,1,71,93,52,913.9,916.8,911.8,182,4.1,2.1,1.41
2019-01-20,53,24.1,19.5,15.7,0.90,4.6,243,11,45,0,75,96,54,913.6,917.0,911.8,243,2.6,0.4,1.39
2019-01-21,51,23.3,19.6,16.9,0.90,6.9,103,22,83,0,70,92,55,914.4,917.5,912.5,103,4.0,1.1,1.17
2019-01-22,51,21.8,18.8,16.6,0.80,7.3,151,27,65,2,75,93,65,915.1,918.1,913.3,151,4.7,1.8,0.91
2019-01-23,61,23.0,18.5,15.9,3.90,8.5,181,33,95,0,85,100,70,914.7,917.7,913.0,181,4.2,1.1,0.83
2019-01-24,51,23.7,19.6,15.3,0.70,5.2,235,24,81,0,72,88,56,914.7,917.6,912.3,235,3.2,1.1,1.29
