date,pm25,fire_count_inner,fire_frp_sum_inner,fire_conf_inner,fire_count_outer,fire_frp_sum_outer,fire_conf_outer,fire_count_total,fire_frp_sum_total,weather_code (wmo code),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa),temperature_2m_max (°C)_center,temperature_2m_mean (°C)_center,temperature_2m_min (°C)_center,precipitation_sum (mm)_center,wind_speed_10m_max (km/h)_center,wind_direction_10m_dominant (°)_center,temperature_2m_max (°C)_north,temperature_2m_mean (°C)_north,temperature_2m_min (°C)_north,precipitation_sum (mm)_north,wind_speed_10m_max (km/h)_north,wind_direction_10m_dominant (°)_north,temperature_2m_max (°C)_south,temperature_2m_mean (°C)_south,temperature_2m_min (°C)_south,precipitation_sum (mm)_south,wind_speed_10m_max (km/h)_south,wind_direction_10m_dominant (°)_south,temperature_2m_max (°C)_east,temperature_2m_mean (°C)_east,temperature_2m_min (°C)_east,precipitation_sum (mm)_east,wind_speed_10m_max (km/h)_east,wind_direction_10m_dominant (°)_east,temperature_2m_max (°C)_west,temperature_2m_mean (°C)_west,temperature_2m_min (°C)_west,precipitation_sum (mm)_west,wind_speed_10m_max (km/h)_west,wind_direction_10m_dominant (°)_west
2019-01-01,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,54,99,12,82,99,57,934.6,937.3,933.2,325,3.7,0.7,1.21,22.9,18.5,15.2,0.4,6.8,325,27.0,21.8,18.0,0.0,9.0,9,25.9,21.8,18.8,0.3,10.5,358,26.0,21.7,18.5,0.3,10.8,55,20.9,17.3,14.9,0.1,8.3,60
2019-01-02,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,73,100,50,79,97,48,934.2,937.1,932.7,356,5.3,4.1,1.54,23.9,18.0,14.2,0.0,10.5,356,27.3,21.3,16.0,0.0,10.8,346,24.8,20.8,17.5,0.3,12.6,4,25.9,21.3,18.0,0.0,12.2,37,21.7,16.5,12.9,0.0,9.1,38
2019-01-03,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,79,99,24,73,96,48,934.4,937.5,932.7,337,4.9,2.5,1.55,23.8,18.2,13.6,0.0,7.4,337,27.2,21.0,15.7,0.0,12.2,333,26.2,21.3,17.0,0.0,12.6,360,26.4,21.4,17.1,0.0,10.5,33,21.8,16.8,12.7,0.0,6.6,27
2019-01-04,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,100,38,74,88,47,933.6,936.8,931.7,333,5.6,2.1,1.8,26.3,19.1,13.8,0.0,7.4,333,29.3,22.1,16.5,0.0,12.2,336,27.2,21.7,17.4,0.0,14.4,355,27.7,22.4,18.0,0.0,10.1,39,23.1,18.1,12.9,0.0,8.4,38
2019-01-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,87,99,61,76,90,51,932.8,935.8,931.3,358,5.4,3.3,1.7,26.5,20.6,16.0,0.0,8.4,358,30.7,23.9,18.4,0.0,11.0,353,29.0,23.6,19.2,0.0,14.1,1,28.5,24.0,19.8,0.0,11.3,47,24.3,19.5,14.4,0.2,10.1,49
2019-01-06,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,74,98,8,80,94,55,932.6,935.1,930.9,5,4.1,0.8,1.51,26.0,21.2,17.5,0.5,7.5,5,30.0,24.4,20.2,0.0,9.2,358,29.2,24.3,20.8,1.4,12.0,12,28.8,24.5,21.3,0.2,11.5,55,24.2,20.4,16.9,2.2,9.4,61
2019-01-07,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,64,100,20,84,100,57,931.5,934.1,929.7,338,3.3,1.1,1.5,26.6,21.5,18.0,3.6,5.8,338,29.6,24.6,20.5,5.8,8.6,342,28.6,24.4,20.3,5.5,6.3,1,28.5,24.1,20.1,3.8,8.1,42,24.4,20.4,16.2,6.5,5.4,136
2019-01-08,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,97,100,84,98,100,91,930.3,931.8,928.8,48,3.1,1.8,0.19,19.8,18.7,17.2,25.3,4.7,48,22.4,21.4,20.2,18.7,5.5,343,22.6,21.4,20.2,35.4,6.8,25,22.5,21.5,20.8,29.7,8.7,357,18.8,17.7,16.8,37.4,6.6,192
2019-01-09,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,67,100,12,92,100,74,931.1,933.1,929.7,134,4.7,0.5,0.75,23.9,19.8,17.2,2.2,7.5,134,25.8,21.8,19.5,19.2,7.3,80,26.3,22.6,19.9,6.1,6.2,348,25.7,22.2,20.0,2.3,9.4,108,21.5,18.2,16.1,12.4,7.2,155
2019-01-10,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,73,100,12,91,100,78,930.8,933.3,929.3,156,3.2,1.1,0.66,24.4,20.5,17.4,2.8,6.1,156,26.6,22.6,18.9,1.3,6.4,338,27.4,23.4,19.6,2.8,8.2,345,26.2,23.3,19.9,1.5,5.5,132,23.0,19.0,15.5,3.7,6.9,201
