latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.25,99.875,632.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),temperature_2m_mean (°C),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2023-01-01,3,24.8,14.0,0.00,9.0,63,18.6,41,87,0,72,92,45,945.6,948.9,944.2,24140.00,24140.00,24140.00,63,5.1,3.3,1.69
2023-01-02,3,25.3,12.2,0.00,12.0,54,18.7,39,86,0,70,92,45,946.1,949.3,944.0,24140.00,24140.00,24140.00,54,5.7,3.3,1.78
2023-01-03,3,23.5,16.2,0.00,12.4,36,19.7,89,100,58,72,83,56,946.1,948.9,944.6,24140.00,24140.00,24140.00,36,5.1,2.3,1.28
2023-01-04,3,26.4,17.5,0.00,9.4,34,21.4,77,97,0,73,91,50,945.4,948.4,943.8,24140.00,24140.00,24140.00,34,3.7,1.3,1.72
2023-01-05,3,27.0,15.9,0.00,11.0,46,21.3,39,96,0,70,91,46,945.1,948.6,943.5,24140.00,24140.00,24140.00,46,5.4,2.6,1.92
2023-01-06,3,25.4,17.2,0.00,12.7,53,21.2,75,100,44,66,88,46,946.2,949.1,944.5,24140.00,24140.00,24140.00,53,6.2,2.7,1.75
2023-01-07,3,25.4,15.8,0.00,10.2,24,19.4,40,96,0,59,73,39,944.9,948.4,942.1,24140.00,24140.00,24140.00,24,5.7,3.3,1.97
2023-01-08,3,25.9,13.6,0.00,8.6,6,19.8,45,98,8,62,81,42,943.7,946.5,942.0,24140.00,24140.00,24140.00,6,4.2,2.1,1.93
2023-01-09,3,26.1,17.0,0.00,8.2,13,21.2,77,94,47,61,75,43,944.2,947.0,942.9,24140.00,24140.00,24140.00,13,4.3,2.3,1.93
2023-01-10,3,28.2,17.8,0.00,5.6,356,22.5,78,95,58,63,81,42,942.4,945.6,940.7,24140.00,24140.00,24140.00,356,2.9,0.0,2.21
2023-01-11,80,26.4,18.2,3.80,5.3,155,21.1,58,97,0,79,89,58,940.9,943.7,939.1,24140.00,24140.00,24140.00,155,3.2,1.0,1.43
2023-01-12,80,26.8,17.9,0.30,8.8,177,21.7,52,86,0,79,96,53,940.2,943.1,938.8,21810.00,11240.00,24140.00,177,4.3,0.4,1.64
2023-01-13,45,28.5,16.6,0.00,11.1,257,22.2,37,84,0,73,100,40,940.6,944.1,938.9,24140.00,24140.00,24140.00,257,4.7,0.7,2.30
2023-01-14,0,28.9,13.6,0.00,7.7,263,20.9,0,6,0,62,92,31,939.2,942.6,937.6,24140.00,24140.00,24140.00,263,4.6,1.8,2.71
2023-01-15,0,28.8,13.2,0.00,5.6,314,21.0,0,1,0,57,91,26,938.9,942.2,936.9,24140.00,24140.00,24140.00,314,4.2,2.8,2.84
2023-01-16,1,28.6,12.6,0.00,9.6,226,20.5,9,57,0,62,86,33,940.5,943.9,937.9,24140.00,24140.00,24140.00,226,4.3,1.0,2.62
2023-01-17,3,26.9,13.8,0.00,11.5,150,20.6,43,84,0,65,87,43,942.1,945.5,939.7,24140.00,24140.00,24140.00,150,5.5,1.1,2.02
2023-01-18,3,26.3,16.6,0.10,9.0,104,21.0,60,94,4,70,90,48,943.9,947.2,942.1,24140.00,24140.00,24140.00,104,4.6,1.5,1.78
2023-01-19,3,25.7,15.8,0.00,7.4,104,20.4,74,100,37,69,92,47,943.8,947.0,942.3,24140.00,24140.00,24140.00,104,4.1,0.7,1.75
2023-01-20,3,27.2,13.8,0.00,6.6,78,20.4,46,100,0,67,91,40,943.4,946.7,941.8,24140.00,24140.00,24140.00,78,3.6,0.4,2.16
2023-01-21,1,28.0,13.8,0.00,6.7,121,20.6,8,32,0,67,89,43,942.4,946.3,940.4,24140.00,24140.00,24140.00,121,3.5,1.3,2.15
2023-01-22,1,29.2,14.2,0.00,4.3,296,22.0,5,22,0,63,91,37,941.3,944.8,939.9,24140.00,24140.00,24140.00,296,2.2,0.0,2.55
2023-01-23,2,29.6,14.6,0.00,4.2,343,22.7,19,48,0,62,92,37,940.7,943.6,939.2,24140.00,24140.00,24140.00,343,2.4,0.7,2.61
2023-01-24,2,29.1,15.4,0.00,18.4,82,22.6,44,84,0,60,90,35,942.5,946.1,940.3,24140.00,24140.00,24140.00,82,7.8,2.5,2.61
2023-01-25,2,26.5,15.8,0.00,7.6,83,20.5,42,79,0,60,77,39,942.8,946.4,940.8,24140.00,24140.00,24140.00,83,4.4,0.5,2.11
2023-01-26,2,27.8,15.0,0.00,7.7,171,20.8,16,79,0,66,85,40,941.3,944.3,939.7,24140.00,24140.00,24140.00,171,3.1,0.8,2.24
2023-01-27,3,28.4,15.3,0.00,15.9,86,21.7,24,90,0,62,86,39,942.0,945.8,940.0,24140.00,24140.00,24140.00,86,6.7,0.0,2.36
2023-01-28,3,26.5,16.3,0.00,11.4,78,20.7,51,95,0,60,77,38,942.9,946.3,941.5,24140.00,24140.00,24140.00,78,6.9,2.8,2.15
2023-01-29,3,24.4,14.4,0.00,13.7,78,19.3,41,85,0,62,84,41,944.0,947.4,941.6,24140.00,24140.00,24140.00,78,7.0,2.9,1.81
2023-01-30,2,25.8,14.0,0.00,10.8,68,19.6,7,65,0,54,73,32,944.5,948.1,941.8,24140.00,24140.00,24140.00,68,5.3,1.5,2.23
2023-01-31,0,27.3,13.9,0.00,6.6,165,20.4,0,0,0,57,76,34,941.4,944.7,938.8,24140.00,24140.00,24140.00,165,3.4,1.3,2.39
2023-02-01,2,29.6,15.4,0.00,6.1,184,22.1,20,70,0,60,78,39,940.0,942.8,938.5,24140.00,24140.00,24140.00,184,3.0,0.4,2.53
2023-02-02,2,30.4,16.3,0.00,7.9,151,23.1,16,60,0,62,85,36,940.5,944.0,939.1,24140.00,24140.00,24140.00,151,3.3,0.4,2.74
2023-02-03,2,30.6,18.5,0.00,9.9,162,24.2,33,64,0,62,81,40,940.8,943.9,939.2,24140.00,24140.00,24140.00,162,4.6,1.0,2.63
2023-02-04,2,29.6,19.4,0.40,12.2,165,24.4,53,76,24,70,86,52,939.8,942.7,938.1,24140.00,24140.00,24140.00,165,5.8,1.4,1.99
2023-02-05,3,30.3,19.6,0.70,10.7,176,24.7,62,86,40,74,91,47,939.8,943.0,938.1,23885.83,21080.00,24140.00,176,5.7,0.4,2.29
2023-02-06,45,32.4,19.6,0.00,10.7,221,25.8,64,100,33,65,97,29,939.6,943.0,937.1,24140.00,24140.00,24140.00,221,4.6,1.0,3.37
2023-02-07,45,32.4,17.1,0.00,15.3,243,25.1,18,61,0,57,100,25,939.4,943.1,937.4,24140.00,24140.00,24140.00,243,6.1,0.5,3.65
2023-02-08,2,32.3,17.5,0.00,9.2,248,24.5,21,74,0,50,71,24,939.7,943.5,937.7,24140.00,24140.00,24140.00,248,4.5,0.8,3.67
2023-02-09,1,32.3,17.4,0.00,11.8,265,24.7,10,43,0,53,75,27,939.8,943.5,937.3,24140.00,24140.00,24140.00,265,4.6,1.3,3.44
2023-02-10,3,32.3,17.2,0.00,10.8,269,25.0,33,100,0,52,78,27,940.0,944.0,938.1,24140.00,24140.00,24140.00,269,5.5,0.4,3.53
2023-02-11,1,32.8,17.5,0.00,10.8,260,25.0,3,40,0,50,68,23,939.9,943.5,938.4,24140.00,24140.00,24140.00,260,5.6,1.4,3.83
2023-02-12,0,32.8,16.7,0.00,12.1,262,24.9,1,12,0,54,90,16,940.2,944.0,938.5,24140.00,24140.00,24140.00,262,5.3,1.3,4.17
2023-02-13,1,32.2,17.1,0.00,11.6,228,24.6,2,23,0,58,89,29,940.0,943.6,938.0,24140.00,24140.00,24140.00,228,4.8,1.0,3.31
2023-02-14,1,32.1,17.9,0.00,8.8,220,24.8,7,59,0,60,93,32,940.3,944.2,938.2,24140.00,24140.00,24140.00,220,3.9,0.8,3.25
2023-02-15,80,31.9,17.8,3.30,17.8,116,23.8,49,83,0,64,90,33,941.3,944.7,938.5,23963.33,19900.00,24140.00,116,7.3,1.3,3.17
2023-02-16,80,27.1,18.8,10.50,7.6,118,22.4,70,91,32,79,94,55,944.0,946.6,942.1,23529.17,15340.00,24140.00,118,3.3,0.4,1.61
2023-02-17,95,25.5,18.2,8.80,10.9,335,21.2,76,100,51,79,93,54,944.5,946.7,942.6,23061.67,6360.00,24140.00,335,5.0,2.2,1.50
2023-02-18,3,26.7,17.7,0.00,4.3,312,21.5,63,100,0,74,92,48,943.4,946.1,941.4,24140.00,24140.00,24140.00,312,2.6,0.5,1.82
2023-02-19,1,29.8,16.3,0.00,6.4,5,23.2,5,34,0,63,94,31,942.3,945.5,940.6,24140.00,24140.00,24140.00,5,3.1,0.7,2.90
2023-02-20,80,27.8,20.0,0.60,11.4,144,23.5,64,95,0,64,78,48,942.0,945.5,940.5,24140.00,24140.00,24140.00,144,5.6,2.4,1.94
2023-02-21,80,29.0,19.5,0.30,12.5,180,23.7,54,96,0,66,85,44,943.1,946.4,941.6,24140.00,24140.00,24140.00,180,5.1,0.8,2.24
2023-02-22,3,29.5,18.6,0.00,8.3,154,24.1,58,99,27,63,87,39,942.8,946.2,941.2,24140.00,24140.00,24140.00,154,4.4,1.3,2.52
2023-02-23,2,30.3,19.6,0.00,12.8,190,24.6,43,77,0,60,80,36,942.0,945.6,940.2,24140.00,24140.00,24140.00,190,4.8,0.8,2.76
2023-02-24,3,32.0,20.3,0.00,7.5,124,25.9,50,81,0,55,77,32,941.9,945.3,939.8,24140.00,24140.00,24140.00,124,3.3,0.4,3.22
2023-02-25,3,30.5,20.3,0.00,15.6,91,24.8,43,89,0,55,77,35,945.3,949.1,942.1,24140.00,24140.00,24140.00,91,8.4,2.3,2.84
2023-02-26,3,27.9,19.1,0.00,15.2,91,23.0,55,91,0,47,60,30,948.3,951.6,946.5,24140.00,24140.00,24140.00,91,9.4,3.7,2.63
2023-02-27,2,27.6,15.4,0.00,9.4,82,21.5,16,62,0,48,71,31,947.5,951.1,945.2,24140.00,24140.00,24140.00,82,5.7,3.7,2.54
