latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.375,100.125,326.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),temperature_2m_mean (°C),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2023-01-01,45,27.2,13.0,0.00,7.6,11,19.5,37,86,0,72,98,41,979.7,983.0,977.7,24140.00,24140.00,24140.00,11,4.9,1.9,2.13
2023-01-02,45,28.0,12.6,0.00,9.9,8,19.8,45,74,0,72,97,41,980.2,983.4,978.7,24140.00,24140.00,24140.00,8,5.6,2.6,2.22
2023-01-03,3,25.8,16.8,0.00,11.5,350,21.0,88,98,69,75,94,53,980.1,982.8,978.1,24140.00,24140.00,24140.00,350,6.4,3.3,1.56
2023-01-04,3,28.4,18.8,0.00,6.6,345,22.9,81,92,28,76,95,49,979.1,982.2,976.9,24140.00,24140.00,24140.00,345,4.0,1.3,1.97
2023-01-05,45,29.6,16.6,0.00,10.2,8,22.6,56,100,4,72,97,41,978.8,982.4,976.6,24140.00,24140.00,24140.00,8,5.6,1.9,2.40
2023-01-06,3,27.9,17.0,0.00,13.4,26,22.3,74,100,49,69,97,42,979.9,983.1,978.2,24140.00,24140.00,24140.00,26,6.0,2.4,2.11
2023-01-07,3,27.5,15.8,0.00,11.2,344,21.1,41,94,0,59,77,38,978.9,982.5,975.6,24140.00,24140.00,24140.00,344,6.2,4.1,2.28
2023-01-08,3,27.8,13.4,0.00,10.2,346,20.3,45,99,0,67,92,42,977.6,980.4,975.9,24140.00,24140.00,24140.00,346,5.1,2.4,2.16
2023-01-09,3,27.6,16.3,0.00,9.8,340,21.9,74,99,47,63,84,44,977.8,980.8,976.2,24140.00,24140.00,24140.00,340,5.3,2.8,2.03
2023-01-10,3,30.2,18.4,0.00,7.3,337,23.5,67,100,20,66,87,42,975.8,979.0,973.6,24140.00,24140.00,24140.00,337,3.7,1.5,2.49
2023-01-11,3,29.1,18.0,0.10,6.4,273,22.4,55,100,0,77,94,52,974.4,977.5,972.1,24140.00,24140.00,24140.00,273,4.0,1.3,1.93
2023-01-12,45,28.8,18.4,0.60,9.7,231,22.8,40,92,0,79,96,53,973.7,976.8,971.7,23465.00,20040.00,24140.00,231,4.6,0.8,1.83
2023-01-13,45,30.6,16.6,0.00,12.0,237,22.9,41,71,15,75,100,40,974.0,977.4,972.2,24140.00,24140.00,24140.00,237,5.4,1.8,2.58
