latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.375,99.75,371.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),temperature_2m_mean (°C),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2023-01-01,3,26.6,16.1,0.00,10.1,75,20.5,44,86,0,70,89,45,975.0,978.0,973.0,24140.00,24140.00,24140.00,75,6.0,4.3,1.92
2023-01-02,3,27.3,14.3,0.00,13.2,65,20.7,35,87,0,68,94,43,975.5,978.4,974.0,24140.00,24140.00,24140.00,65,7.0,4.0,2.07
2023-01-03,3,26.0,17.4,0.00,11.4,52,21.5,84,100,53,69,84,52,975.4,977.9,973.6,24140.00,24140.00,24140.00,52,6.1,3.3,1.61
2023-01-04,3,27.8,18.9,0.00,8.9,45,22.8,73,91,28,71,88,48,974.6,977.6,972.5,24140.00,24140.00,24140.00,45,4.5,2.5,1.95
2023-01-05,3,28.7,17.0,0.00,11.5,50,22.9,39,79,0,71,96,45,974.3,977.5,972.0,24140.00,24140.00,24140.00,50,6.1,3.6,2.13
2023-01-06,3,27.3,17.6,0.00,11.9,45,22.5,72,100,33,64,88,46,975.3,978.1,973.6,24140.00,24140.00,24140.00,45,6.7,4.4,1.93
2023-01-07,3,27.1,15.1,0.00,8.5,27,20.5,36,87,0,60,81,38,974.2,977.6,971.1,24140.00,24140.00,24140.00,27,5.9,4.2,2.19
2023-01-08,3,27.9,13.8,0.00,6.4,19,20.8,35,99,0,62,87,39,973.0,975.6,971.3,24140.00,24140.00,24140.00,19,4.4,2.5,2.29
2023-01-09,3,27.8,16.5,0.00,7.9,25,22.3,77,98,54,57,73,42,973.3,976.0,971.7,24140.00,24140.00,24140.00,25,5.0,2.9,2.17
2023-01-10,3,30.3,19.2,0.00,5.7,16,24.0,68,93,45,60,76,38,971.4,974.5,969.2,24140.00,24140.00,24140.00,16,3.8,1.0,2.67
2023-01-11,3,28.7,18.7,0.50,7.0,105,22.9,54,91,0,74,89,50,969.9,972.8,967.7,24140.00,24140.00,24140.00,105,4.7,2.3,1.96
2023-01-12,80,29.2,20.2,0.30,9.7,166,23.9,62,81,38,76,95,47,969.1,972.0,967.1,21810.00,11240.00,24140.00,166,5.5,2.4,2.13
2023-01-13,45,30.1,18.6,0.00,13.4,237,24.1,20,94,0,69,100,35,969.6,972.9,967.9,24140.00,24140.00,24140.00,237,5.1,0.5,2.78
2023-01-14,0,30.4,15.9,0.00,9.2,259,22.9,0,5,0,57,85,27,968.2,971.5,966.5,24140.00,24140.00,24140.00,259,4.2,1.1,3.12
2023-01-15,0,30.4,16.4,0.00,7.3,322,22.8,0,0,0,55,76,28,967.9,970.9,966.2,24140.00,24140.00,24140.00,322,4.2,1.5,3.04
2023-01-16,2,30.2,14.0,0.00,9.4,124,22.2,12,47,0,59,82,34,969.6,972.7,967.5,24140.00,24140.00,24140.00,124,5.1,2.0,2.84
2023-01-17,3,28.7,15.5,0.00,11.5,136,22.9,35,74,0,60,80,41,971.2,974.4,969.4,24140.00,24140.00,24140.00,136,6.2,2.4,2.30
2023-01-18,3,28.2,18.3,0.00,10.1,116,23.2,47,87,0,66,89,44,973.0,976.0,971.5,24140.00,24140.00,24140.00,116,5.6,2.2,2.14
2023-01-19,3,28.2,17.9,0.00,8.9,110,22.8,74,100,38,65,84,43,972.9,976.0,970.9,24140.00,24140.00,24140.00,110,5.0,2.6,2.18
2023-01-20,3,28.7,15.8,0.00,6.6,94,22.4,42,100,0,65,93,40,972.5,975.6,970.8,24140.00,24140.00,24140.00,94,4.6,2.9,2.37
2023-01-21,3,29.8,15.4,0.00,6.8,110,22.5,19,92,0,68,94,42,971.4,975.1,969.0,24140.00,24140.00,24140.00,110,4.8,1.6,2.43
2023-01-22,1,30.8,17.6,0.00,6.1,17,23.6,1,10,0,61,85,33,970.3,973.6,968.2,24140.00,24140.00,24140.00,17,4.2,0.4,2.87
2023-01-23,2,31.1,17.4,0.00,6.0,351,24.2,16,47,0,60,81,38,969.5,972.4,967.8,24140.00,24140.00,24140.00,351,4.2,1.8,2.80
2023-01-24,2,30.4,16.5,0.00,19.2,81,24.0,39,81,4,62,94,36,971.4,974.7,969.6,24140.00,24140.00,24140.00,81,8.7,3.3,2.73
2023-01-25,2,28.0,18.1,0.00,8.7,85,22.8,48,75,0,56,73,38,971.8,975.5,969.3,24140.00,24140.00,24140.00,85,5.1,0.7,2.34
