latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.875,99.75,906.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),temperature_2m_mean (°C),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2023-01-01,3,22.0,13.2,0.00,7.5,107,17.3,43,100,0,73,92,52,916.5,919.4,915.2,24140.00,24140.00,24140.00,107,5.3,3.8,1.27
2023-01-02,3,22.8,12.7,0.00,10.2,85,17.8,41,85,0,69,91,49,917.2,920.1,915.2,24140.00,24140.00,24140.00,85,5.9,3.6,1.42
2023-01-03,3,21.5,13.3,0.00,7.7,61,17.6,56,93,30,73,87,59,917.1,919.6,915.9,24140.00,24140.00,24140.00,61,4.9,3.3,1.05
2023-01-04,3,23.4,15.7,0.00,6.9,59,19.1,52,87,0,73,86,55,916.6,919.6,915.1,24140.00,24140.00,24140.00,59,3.8,2.0,1.30
2023-01-05,2,24.3,15.2,0.00,9.3,59,19.5,36,61,0,70,88,52,916.5,919.6,914.9,24140.00,24140.00,24140.00,59,5.5,3.3,1.45
2023-01-06,3,22.5,13.8,0.00,13.2,43,18.5,70,100,23,66,89,48,917.4,920.2,915.4,24140.00,24140.00,24140.00,43,7.5,3.8,1.39
2023-01-07,3,22.0,12.4,0.00,12.1,20,16.7,23,88,0,63,82,43,915.9,919.1,913.2,24140.00,24140.00,24140.00,20,5.8,1.6,1.51
2023-01-08,1,22.6,11.6,0.00,8.0,29,16.9,5,38,0,62,79,46,914.7,917.5,912.6,24140.00,24140.00,24140.00,29,4.3,1.5,1.48
2023-01-09,3,22.5,15.0,0.00,7.7,43,18.7,80,97,56,59,68,46,915.4,918.1,914.3,24140.00,24140.00,24140.00,43,4.6,2.8,1.47
2023-01-10,3,25.7,16.8,0.00,5.5,43,20.6,64,90,11,58,70,42,914.0,917.0,912.2,24140.00,24140.00,24140.00,43,3.7,2.1,1.91
2023-01-11,3,24.9,16.3,0.00,6.5,145,19.9,46,91,0,68,80,53,912.2,915.1,910.4,24140.00,24140.00,24140.00,145,4.1,1.5,1.45
2023-01-12,3,25.4,17.3,0.10,10.0,211,20.7,55,88,31,71,89,48,911.4,914.2,910.2,24138.33,24100.00,24140.00,211,4.7,1.8,1.68
2023-01-13,2,26.0,14.8,0.00,13.4,234,20.5,5,64,0,62,92,35,911.9,915.1,910.2,24140.00,24140.00,24140.00,234,6.9,3.7,2.14
2023-01-14,0,26.6,14.5,0.00,8.7,247,20.3,0,0,0,53,66,33,910.6,913.8,908.9,24140.00,24140.00,24140.00,247,5.3,3.3,2.34
2023-01-15,1,25.9,14.4,0.00,7.6,317,20.1,2,18,0,56,71,38,910.5,913.5,908.6,24140.00,24140.00,24140.00,317,4.1,1.9,2.07
2023-01-16,2,26.1,14.6,0.00,6.6,157,20.0,26,64,0,56,67,40,911.9,915.1,909.4,24140.00,24140.00,24140.00,157,3.5,1.5,2.03
2023-01-17,3,24.8,13.9,0.00,10.2,164,19.5,34,95,0,62,72,44,913.2,916.5,910.9,24140.00,24140.00,24140.00,164,5.6,2.5,1.75
2023-01-18,3,24.5,15.5,0.00,8.4,148,19.4,40,88,0,70,89,49,914.9,918.0,913.1,24140.00,24140.00,24140.00,148,5.5,2.9,1.54
2023-01-19,3,24.4,15.5,0.00,5.6,150,19.5,72,100,25,69,86,46,914.9,917.7,913.4,24140.00,24140.00,24140.00,150,4.3,3.1,1.65
2023-01-20,3,25.2,14.0,0.00,5.0,141,19.6,34,100,0,65,85,42,914.6,917.6,913.0,24140.00,24140.00,24140.00,141,3.1,1.4,1.86
2023-01-21,3,25.9,14.6,0.00,6.6,192,19.9,23,97,0,63,78,45,913.6,917.3,911.9,24140.00,24140.00,24140.00,192,4.1,1.8,1.83
2023-01-22,2,26.9,15.0,0.00,5.7,244,20.8,7,37,0,61,80,41,912.7,916.0,911.3,24140.00,24140.00,24140.00,244,3.5,1.1,2.09
2023-01-23,1,27.5,14.9,0.00,5.2,334,21.4,6,25,0,57,76,36,912.2,915.1,910.5,24140.00,24140.00,24140.00,334,3.2,1.3,2.35
