latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.453426,99.510765,265.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,25.9,21.8,18.8,0.30,10.5,358,54,100,12,76,91,57,988.0,990.6,985.7,358,7.6,3.7,1.44
2019-01-02,51,24.8,20.8,17.5,0.30,12.6,4,68,100,15,76,92,61,987.8,990.5,985.6,4,10.2,6.4,1.23
2019-01-03,3,26.2,21.3,17.0,0.00,12.6,360,83,99,43,70,89,51,987.9,990.8,985.6,360,8.8,0.5,1.67
2019-01-04,3,27.2,21.7,17.4,0.00,14.4,355,81,99,35,71,82,58,986.8,990.0,985.0,355,9.6,5.4,1.52
2019-01-05,3,29.0,23.6,19.2,0.00,14.1,1,92,100,59,72,85,57,985.7,988.5,983.6,1,9.4,2.5,1.70
2019-01-06,53,29.2,24.3,20.8,1.40,12.0,12,70,95,11,76,88,56,985.3,987.5,983.5,12,7.9,2.0,1.78
2019-01-07,61,28.6,24.4,20.3,5.50,6.3,1,69,100,13,82,100,63,984.0,986.6,981.3,1,3.9,1.0,1.46
2019-01-08,65,22.6,21.4,20.2,35.40,6.8,25,93,100,54,99,100,94,983.3,984.9,981.6,25,3.5,0.4,0.18
2019-01-09,61,26.3,22.6,19.9,6.10,6.2,348,74,100,17,91,100,80,983.8,985.9,981.6,348,3.3,1.4,0.68
2019-01-10,53,27.4,23.4,19.6,2.80,8.2,345,52,100,4,88,100,70,983.5,986.0,981.3,345,4.9,2.2,1.10
2019-01-11,51,28.6,23.9,19.2,1.70,7.3,337,60,97,8,85,100,63,983.8,986.7,981.7,337,4.3,0.7,1.43
2019-01-12,51,28.8,24.2,20.3,0.60,7.6,358,90,99,35,81,96,61,983.8,986.7,982.0,358,5.0,0.7,1.56
2019-01-13,51,29.6,24.3,19.8,0.20,8.4,352,39,74,3,81,96,57,983.5,986.6,981.6,352,5.3,0.8,1.79
2019-01-14,51,29.1,24.1,19.7,0.40,8.6,348,24,62,0,81,94,60,981.8,984.7,980.0,348,4.4,0.5,1.62
2019-01-15,51,28.4,23.7,20.2,2.20,10.1,83,45,94,14,85,95,67,981.6,984.5,980.0,83,5.0,2.4,1.29
2019-01-16,53,27.2,22.9,20.3,2.30,11.3,26,51,100,3,85,99,62,982.9,985.4,981.5,26,5.3,1.9,1.38
2019-01-17,51,26.9,22.8,19.3,0.20,11.9,6,28,59,2,73,86,63,983.7,986.4,982.3,6,8.4,1.5,1.32
2019-01-18,51,27.3,22.9,18.8,0.60,12.0,18,18,51,1,73,91,55,984.1,987.3,981.7,18,7.3,3.1,1.65
2019-01-19,1,28.4,22.9,18.4,0.00,7.9,343,11,29,0,75,93,52,983.4,986.3,981.1,343,4.9,1.6,1.86
2019-01-20,1,29.4,23.1,17.9,0.00,10.8,354,6,36,0,71,92,44,983.0,986.3,980.9,354,5.8,1.5,2.29
2019-01-21,2,29.6,23.0,17.7,0.00,9.9,6,11,54,1,66,83,44,983.7,987.0,982.0,6,6.1,2.2,2.33
