latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.453426,99.77495,371.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,26.0,21.7,18.5,0.30,10.8,55,63,100,9,73,90,50,976.2,978.9,974.1,55,7.0,3.6,1.70
2019-01-02,3,25.9,21.3,18.0,0.00,12.2,37,71,100,11,73,93,50,975.9,978.7,973.7,37,9.3,2.4,1.66
2019-01-03,3,26.4,21.4,17.1,0.00,10.5,33,78,100,8,69,90,48,976.0,979.0,974.0,33,7.3,1.3,1.79
2019-01-04,3,27.7,22.4,18.0,0.00,10.1,39,83,100,42,67,79,51,975.0,978.1,973.5,39,7.5,1.8,1.83
2019-01-05,3,28.5,24.0,19.8,0.00,11.3,47,87,99,38,69,83,54,974.2,976.9,972.4,47,8.8,5.0,1.80
2019-01-06,51,28.8,24.5,21.3,0.20,11.5,55,72,99,17,74,86,58,973.8,976.0,972.1,55,6.6,1.5,1.67
2019-01-07,61,28.5,24.1,20.1,3.80,8.1,42,71,100,11,82,98,60,972.5,975.1,970.3,42,4.3,1.6,1.54
2019-01-08,63,22.5,21.5,20.8,29.70,8.7,357,97,100,86,94,98,87,971.7,973.2,969.9,357,4.0,1.3,0.35
2019-01-09,51,25.7,22.2,20.0,2.30,9.4,108,73,100,15,90,97,75,972.3,974.4,970.3,108,5.2,1.8,0.82
2019-01-10,51,26.2,23.3,19.9,1.50,5.5,132,43,97,5,88,98,73,972.0,974.5,970.1,132,3.5,1.8,0.90
2019-01-11,51,27.4,23.9,20.1,1.70,6.9,288,60,97,12,83,94,68,972.4,975.1,970.6,288,4.0,1.8,1.18
2019-01-12,51,27.9,24.1,20.1,1.80,5.5,28,86,100,22,82,94,69,972.3,975.0,970.6,28,2.5,0.4,1.16
2019-01-13,51,29.6,23.8,18.8,0.30,5.6,358,27,79,1,79,98,52,971.9,975.0,970.3,358,3.0,0.0,2.00
2019-01-14,51,28.5,24.9,21.1,0.50,6.8,250,22,55,0,71,84,58,970.4,973.1,968.9,250,3.2,0.0,1.62
2019-01-15,55,26.7,24.0,21.9,6.20,9.8,120,49,91,12,80,93,63,970.4,973.1,968.7,120,4.8,0.8,1.21
2019-01-16,51,25.9,22.5,19.9,2.50,8.7,57,43,98,3,85,96,70,971.3,973.8,969.9,57,4.6,1.8,0.97
2019-01-17,51,26.6,22.6,19.7,0.60,11.1,49,27,68,3,76,90,58,971.9,974.7,970.2,49,7.6,1.5,1.46
2019-01-18,51,26.7,22.8,19.1,0.20,11.9,67,15,41,1,72,92,54,972.5,975.6,970.4,67,7.4,2.2,1.61
2019-01-19,1,27.9,23.4,18.4,0.00,6.6,48,9,31,0,66,83,48,971.9,974.7,969.9,48,4.1,2.3,1.96
2019-01-20,0,29.1,24.2,20.5,0.00,6.4,303,4,18,0,61,77,40,971.6,974.7,969.7,303,3.5,0.5,2.40
2019-01-21,51,28.4,23.6,18.6,0.80,8.8,48,20,58,0,62,80,39,972.2,975.4,970.6,48,4.6,1.9,2.08
2019-01-22,51,27.1,23.3,19.7,0.60,9.2,98,34,82,3,69,77,55,973.2,975.9,971.6,98,5.7,1.8,1.63
2019-01-23,51,27.2,23.3,19.9,0.30,7.2,116,21,44,0,70,87,55,973.0,975.8,971.3,116,4.8,2.1,1.61
2019-01-24,1,28.6,23.8,20.7,0.00,7.4,239,11,34,0,64,80,43,972.7,975.5,971.3,239,4.0,0.0,2.23
2019-01-25,3,29.5,23.9,17.5,0.00,10.6,46,16,98,0,57,87,35,973.2,976.4,971.8,46,5.0,1.0,2.60
2019-01-26,3,27.8,23.4,19.0,0.00,13.9,62,26,96,0,57,74,39,974.5,977.5,972.8,62,8.3,1.5,2.26
2019-01-27,3,27.5,22.5,17.8,0.00,10.3,60,17,100,0,56,73,39,974.5,977.8,972.2,60,5.8,3.4,2.22
2019-01-28,1,28.8,22.9,18.4,0.00,7.1,81,8,36,0,59,73,37,973.3,977.1,971.1,81,4.5,0.8,2.50
2019-01-29,2,29.1,23.8,19.3,0.00,7.1,106,11,61,0,55,71,36,972.4,975.2,970.6,106,3.6,1.1,2.59
2019-01-30,0,29.5,24.4,19.5,0.00,8.0,233,2,8,0,55,73,39,972.4,975.9,970.6,233,4.3,0.5,2.51
2019-01-31,2,31.0,25.0,20.2,0.00,8.0,26,6,57,0,54,72,34,973.0,975.9,971.5,26,4.3,0.4,2.96
2019-02-01,2,29.7,24.5,19.8,0.00,11.5,61,15,53,0,58,76,42,972.8,976.1,971.1,61,7.0,2.9,2.42
2019-02-02,0,30.5,25.7,21.4,0.00,10.7,214,4,11,0,59,76,41,971.5,974.4,969.4,214,4.9,0.8,2.55
2019-02-03,1,32.2,26.1,21.9,0.00,9.3,279,2,23,0,55,70,28,972.0,974.9,970.2,279,4.6,0.8,3.41
2019-02-04,1,32.8,26.3,21.3,0.00,10.7,261,1,20,0,49,78,25,972.3,975.6,970.4,261,4.8,0.8,3.74
2019-02-05,0,33.3,25.6,18.0,0.00,7.7,4,0,0,0,47,75,18,971.4,974.7,969.4,4,4.6,0.5,4.17
2019-02-06,1,32.4,26.3,21.9,0.00,10.7,226,1,25,0,43,73,23,969.8,972.5,967.7,226,5.9,2.3,3.75
2019-02-07,0,32.5,26.6,21.2,0.00,9.4,268,0,0,0,47,76,23,970.9,973.9,968.8,268,4.4,0.0,3.72
2019-02-08,0,33.1,26.5,20.9,0.00,10.3,287,0,0,0,43,66,20,970.9,974.3,968.7,287,6.5,2.5,4.04
2019-02-09,0,32.8,26.7,20.4,0.00,9.8,279,0,0,0,36,58,18,970.8,973.8,968.9,279,5.9,2.0,4.09
2019-02-10,1,33.1,27.6,19.9,0.00,9.4,254,2,40,0,37,61,24,972.0,975.0,970.2,254,5.8,1.6,3.81
2019-02-11,2,32.8,28.1,23.1,0.00,8.0,158,36,79,0,44,65,33,973.3,976.1,971.2,158,4.9,1.0,3.28
2019-02-12,61,29.5,24.7,21.7,6.60,10.4,111,44,79,4,79,88,61,975.3,978.4,973.6,111,4.8,1.6,1.61
